Run,Assay Type,AvgSpotLen,Bases,BioProject,BioSample,BioSampleModel,Bytes,Center Name,Collection_Date,Consent,DATASTORE filetype,DATASTORE provider,DATASTORE region,Depth,env_broad_scale,env_local_scale,env_medium,Experiment,geo_loc_name_country,geo_loc_name_country_continent,geo_loc_name,Instrument,lat_lon,Library Name,LibraryLayout,LibrarySelection,LibrarySource,Organism,Platform,ReleaseDate,create_date,version,Sample Name,SRA Study,size_frac,alkalinity
SRR32311489,AMPLICON,602,20857494,PRJNA785606,SAMN46781105,"MIMARKS.survey,MIGS/MIMS/MIMARKS.water",12187655,DALHOUSIE UNIVERSITY,2022-02-16,public,"fastq,run.zq,sra","gs,ncbi,s3","gs.us-east1,ncbi.public,s3.us-east-1",30,marine biome (ENVO:00000447),natural harbour (ENVO:00000465),coastal seawater (ENVO:00002150),SRX27647307,uncalculated,uncalculated,Atlantic Ocean: Bedford Basin,Illumina MiSeq,44.6936 N 63.6403 W,BB22_6E_V4V5,PAIRED,PCR,METAGENOMIC,marine metagenome,ILLUMINA,2025-09-17T00:00:00Z,2025-02-11T15:20:00Z,1,BB22_6E,SRP348946,>0.2m,
SRR32311490,AMPLICON,602,32425526,PRJNA785606,SAMN46781110,"MIMARKS.survey,MIGS/MIMS/MIMARKS.water",18725814,DALHOUSIE UNIVERSITY,2022-02-16,public,"fastq,run.zq,sra","gs,ncbi,s3","gs.us-east1,ncbi.public,s3.us-east-1",60,marine biome (ENVO:00000447),natural harbour (ENVO:00000465),coastal seawater (ENVO:00002150),SRX27647306,uncalculated,uncalculated,Atlantic Ocean: Bedford Basin,Illumina MiSeq,44.6936 N 63.6403 W,BB22_6DS_V4V5,PAIRED,PCR,METAGENOMIC,marine metagenome,ILLUMINA,2025-09-17T00:00:00Z,2025-02-11T15:19:00Z,1,BB22_6DS,SRP348946,0.2-3m,
SRR32311491,AMPLICON,602,62632080,PRJNA785606,SAMN46781111,"MIMARKS.survey,MIGS/MIMS/MIMARKS.water",34009687,DALHOUSIE UNIVERSITY,2022-02-16,public,"fastq,run.zq,sra","gs,ncbi,s3","gs.us-east1,ncbi.public,s3.us-east-1",60,marine biome (ENVO:00000447),natural harbour (ENVO:00000465),coastal seawater (ENVO:00002150),SRX27647305,uncalculated,uncalculated,Atlantic Ocean: Bedford Basin,Illumina MiSeq,44.6936 N 63.6403 W,BB22_6DP_V4V5,PAIRED,PCR,METAGENOMIC,marine metagenome,ILLUMINA,2025-09-17T00:00:00Z,2025-02-11T15:20:00Z,1,BB22_6DP,SRP348946,Pooled,
SRR32311492,AMPLICON,602,22178884,PRJNA785606,SAMN46781109,"MIMARKS.survey,MIGS/MIMS/MIMARKS.water",12784357,DALHOUSIE UNIVERSITY,2022-02-16,public,"fastq,run.zq,sra","gs,ncbi,s3","gs.us-east1,ncbi.public,s3.us-east-1",60,marine biome (ENVO:00000447),natural harbour (ENVO:00000465),coastal seawater (ENVO:00002150),SRX27647304,uncalculated,uncalculated,Atlantic Ocean: Bedford Basin,Illumina MiSeq,44.6936 N 63.6403 W,BB22_6DL_V4V5,PAIRED,PCR,METAGENOMIC,marine metagenome,ILLUMINA,2025-09-17T00:00:00Z,2025-02-11T15:19:00Z,1,BB22_6DL,SRP348946,>3m,
SRR32311493,AMPLICON,602,21319228,PRJNA785606,SAMN46781108,"MIMARKS.survey,MIGS/MIMS/MIMARKS.water",12487608,DALHOUSIE UNIVERSITY,2022-02-16,public,"fastq,run.zq,sra","gs,ncbi,s3","gs.us-east1,ncbi.public,s3.us-east-1",60,marine biome (ENVO:00000447),natural harbour (ENVO:00000465),coastal seawater (ENVO:00002150),SRX27647303,uncalculated,uncalculated,Atlantic Ocean: Bedford Basin,Illumina MiSeq,44.6936 N 63.6403 W,BB22_6D_V4V5,PAIRED,PCR,METAGENOMIC,marine metagenome,ILLUMINA,2025-09-17T00:00:00Z,2025-02-11T15:19:00Z,1,BB22_6D,SRP348946,>0.2m,
SRR32311494,AMPLICON,602,26719168,PRJNA785606,SAMN46781104,"MIMARKS.survey,MIGS/MIMS/MIMARKS.water",15495843,DALHOUSIE UNIVERSITY,2022-02-16,public,"fastq,run.zq,sra","gs,ncbi,s3","gs.us-east1,ncbi.public,s3.us-east-1",10,marine biome (ENVO:00000447),natural harbour (ENVO:00000465),coastal seawater (ENVO:00002150),SRX27647302,uncalculated,uncalculated,Atlantic Ocean: Bedford Basin,Illumina MiSeq,44.6936 N 63.6403 W,BB22_6CS_V4V5,PAIRED,PCR,METAGENOMIC,marine metagenome,ILLUMINA,2025-09-17T00:00:00Z,2025-02-11T15:18:00Z,1,BB22_6CS,SRP348946,0.2-3m,
SRR32311495,AMPLICON,602,14061516,PRJNA785606,SAMN46781103,"MIMARKS.survey,MIGS/MIMS/MIMARKS.water",8349628,DALHOUSIE UNIVERSITY,2022-02-16,public,"fastq,run.zq,sra","gs,ncbi,s3","gs.us-east1,ncbi.public,s3.us-east-1",10,marine biome (ENVO:00000447),natural harbour (ENVO:00000465),coastal seawater (ENVO:00002150),SRX27647301,uncalculated,uncalculated,Atlantic Ocean: Bedford Basin,Illumina MiSeq,44.6936 N 63.6403 W,BB22_6CL_V4V5,PAIRED,PCR,METAGENOMIC,marine metagenome,ILLUMINA,2025-09-17T00:00:00Z,2025-02-11T15:18:00Z,1,BB22_6CL,SRP348946,>3m,
SRR32311496,AMPLICON,602,13339116,PRJNA785606,SAMN46781102,"MIMARKS.survey,MIGS/MIMS/MIMARKS.water",7688843,DALHOUSIE UNIVERSITY,2022-02-16,public,"fastq,run.zq,sra","gs,ncbi,s3","gs.us-east1,ncbi.public,s3.us-east-1",10,marine biome (ENVO:00000447),natural harbour (ENVO:00000465),coastal seawater (ENVO:00002150),SRX27647300,uncalculated,uncalculated,Atlantic Ocean: Bedford Basin,Illumina MiSeq,44.6936 N 63.6403 W,BB22_6C_V4V5,PAIRED,PCR,METAGENOMIC,marine metagenome,ILLUMINA,2025-09-17T00:00:00Z,2025-02-11T15:19:00Z,1,BB22_6C,SRP348946,>0.2m,
SRR32311497,AMPLICON,602,32854752,PRJNA785606,SAMN46781030,"MIMARKS.survey,MIGS/MIMS/MIMARKS.water",20050861,DALHOUSIE UNIVERSITY,2022-01-07,public,"fastq,run.zq,sra","gs,ncbi,s3","gs.us-east1,ncbi.public,s3.us-east-1",10,marine biome (ENVO:00000447),natural harbour (ENVO:00000465),coastal seawater (ENVO:00002150),SRX27647299,uncalculated,uncalculated,Atlantic Ocean: Bedford Basin,Illumina MiSeq,44.6936 N 63.6403 W,BB22_1CS_V4V5,PAIRED,PCR,METAGENOMIC,marine metagenome,ILLUMINA,2025-09-17T00:00:00Z,2025-02-11T15:19:00Z,1,BB22_1CS,SRP348946,0.2-3m,
SRR32311498,AMPLICON,602,35507164,PRJNA785606,SAMN46781101,"MIMARKS.survey,MIGS/MIMS/MIMARKS.water",20561236,DALHOUSIE UNIVERSITY,2022-02-16,public,"fastq,run.zq,sra","gs,ncbi,s3","gs.us-east1,ncbi.public,s3.us-east-1",5,marine biome (ENVO:00000447),natural harbour (ENVO:00000465),coastal seawater (ENVO:00002150),SRX27647298,uncalculated,uncalculated,Atlantic Ocean: Bedford Basin,Illumina MiSeq,44.6936 N 63.6403 W,BB22_6BS_V4V5,PAIRED,PCR,METAGENOMIC,marine metagenome,ILLUMINA,2025-09-17T00:00:00Z,2025-02-11T15:21:00Z,1,BB22_6BS,SRP348946,0.2-3m,
SRR32311499,AMPLICON,602,9507988,PRJNA785606,SAMN46781100,"MIMARKS.survey,MIGS/MIMS/MIMARKS.water",5519472,DALHOUSIE UNIVERSITY,2022-02-16,public,"fastq,run.zq,sra","gs,ncbi,s3","gs.us-east1,ncbi.public,s3.us-east-1",5,marine biome (ENVO:00000447),natural harbour (ENVO:00000465),coastal seawater (ENVO:00002150),SRX27647297,uncalculated,uncalculated,Atlantic Ocean: Bedford Basin,Illumina MiSeq,44.6936 N 63.6403 W,BB22_6BL_V4V5,PAIRED,PCR,METAGENOMIC,marine metagenome,ILLUMINA,2025-09-17T00:00:00Z,2025-02-11T15:18:00Z,1,BB22_6BL,SRP348946,>3m,
SRR32311500,AMPLICON,602,18900392,PRJNA785606,SAMN46781099,"MIMARKS.survey,MIGS/MIMS/MIMARKS.water",10838846,DALHOUSIE UNIVERSITY,2022-02-16,public,"fastq,run.zq,sra","gs,ncbi,s3","gs.us-east1,ncbi.public,s3.us-east-1",5,marine biome (ENVO:00000447),natural harbour (ENVO:00000465),coastal seawater (ENVO:00002150),SRX27647296,uncalculated,uncalculated,Atlantic Ocean: Bedford Basin,Illumina MiSeq,44.6936 N 63.6403 W,BB22_6B_V4V5,PAIRED,PCR,METAGENOMIC,marine metagenome,ILLUMINA,2025-09-17T00:00:00Z,2025-02-11T15:19:00Z,1,BB22_6B,SRP348946,>0.2m,
SRR32311501,AMPLICON,602,22464834,PRJNA785606,SAMN46781098,"MIMARKS.survey,MIGS/MIMS/MIMARKS.water",12847189,DALHOUSIE UNIVERSITY,2022-02-16,public,"fastq,run.zq,sra","gs,ncbi,s3","gs.us-east1,ncbi.public,s3.us-east-1",1,marine biome (ENVO:00000447),natural harbour (ENVO:00000465),coastal seawater (ENVO:00002150),SRX27647295,uncalculated,uncalculated,Atlantic Ocean: Bedford Basin,Illumina MiSeq,44.6936 N 63.6403 W,BB22_6AS_V4V5,PAIRED,PCR,METAGENOMIC,marine metagenome,ILLUMINA,2025-09-17T00:00:00Z,2025-02-11T15:19:00Z,1,BB22_6AS,SRP348946,0.2-3m,
SRR32311502,AMPLICON,602,7516572,PRJNA785606,SAMN46781097,"MIMARKS.survey,MIGS/MIMS/MIMARKS.water",4366292,DALHOUSIE UNIVERSITY,2022-02-16,public,"fastq,run.zq,sra","gs,ncbi,s3","gs.us-east1,ncbi.public,s3.us-east-1",1,marine biome (ENVO:00000447),natural harbour (ENVO:00000465),coastal seawater (ENVO:00002150),SRX27647294,uncalculated,uncalculated,Atlantic Ocean: Bedford Basin,Illumina MiSeq,44.6936 N 63.6403 W,BB22_6AL_V4V5,PAIRED,PCR,METAGENOMIC,marine metagenome,ILLUMINA,2025-09-17T00:00:00Z,2025-02-11T15:20:00Z,1,BB22_6AL,SRP348946,>3m,
SRR32311503,AMPLICON,602,36627486,PRJNA785606,SAMN46781096,"MIMARKS.survey,MIGS/MIMS/MIMARKS.water",20840871,DALHOUSIE UNIVERSITY,2022-02-16,public,"fastq,run.zq,sra","gs,ncbi,s3","gs.us-east1,ncbi.public,s3.us-east-1",1,marine biome (ENVO:00000447),natural harbour (ENVO:00000465),coastal seawater (ENVO:00002150),SRX27647293,uncalculated,uncalculated,Atlantic Ocean: Bedford Basin,Illumina MiSeq,44.6936 N 63.6403 W,BB22_6A_V4V5,PAIRED,PCR,METAGENOMIC,marine metagenome,ILLUMINA,2025-09-17T00:00:00Z,2025-02-11T15:18:00Z,1,BB22_6A,SRP348946,>0.2m,
SRR32311504,AMPLICON,602,37628010,PRJNA785606,SAMN46781091,"MIMARKS.survey,MIGS/MIMS/MIMARKS.water",21837472,DALHOUSIE UNIVERSITY,2022-02-10,public,"fastq,run.zq,sra","gs,ncbi,s3","gs.us-east1,ncbi.public,s3.us-east-1",30,marine biome (ENVO:00000447),natural harbour (ENVO:00000465),coastal seawater (ENVO:00002150),SRX27647292,uncalculated,uncalculated,Atlantic Ocean: Bedford Basin,Illumina MiSeq,44.6936 N 63.6403 W,BB22_5ES_V4V5,PAIRED,PCR,METAGENOMIC,marine metagenome,ILLUMINA,2025-09-17T00:00:00Z,2025-02-11T15:20:00Z,1,BB22_5ES,SRP348946,0.2-3m,
SRR32311505,AMPLICON,602,11214658,PRJNA785606,SAMN46781090,"MIMARKS.survey,MIGS/MIMS/MIMARKS.water",6578250,DALHOUSIE UNIVERSITY,2022-02-10,public,"fastq,run.zq,sra","gs,ncbi,s3","gs.us-east1,ncbi.public,s3.us-east-1",30,marine biome (ENVO:00000447),natural harbour (ENVO:00000465),coastal seawater (ENVO:00002150),SRX27647291,uncalculated,uncalculated,Atlantic Ocean: Bedford Basin,Illumina MiSeq,44.6936 N 63.6403 W,BB22_5EL_V4V5,PAIRED,PCR,METAGENOMIC,marine metagenome,ILLUMINA,2025-09-17T00:00:00Z,2025-02-11T15:20:00Z,1,BB22_5EL,SRP348946,>3m,
SRR32311506,AMPLICON,602,29596728,PRJNA785606,SAMN46781089,"MIMARKS.survey,MIGS/MIMS/MIMARKS.water",17202817,DALHOUSIE UNIVERSITY,2022-02-10,public,"fastq,run.zq,sra","gs,ncbi,s3","gs.us-east1,ncbi.public,s3.us-east-1",30,marine biome (ENVO:00000447),natural harbour (ENVO:00000465),coastal seawater (ENVO:00002150),SRX27647290,uncalculated,uncalculated,Atlantic Ocean: Bedford Basin,Illumina MiSeq,44.6936 N 63.6403 W,BB22_5E_V4V5,PAIRED,PCR,METAGENOMIC,marine metagenome,ILLUMINA,2025-09-17T00:00:00Z,2025-02-11T15:19:00Z,1,BB22_5E,SRP348946,>0.2m,
SRR32311507,AMPLICON,602,21866446,PRJNA785606,SAMN46781245,"MIMARKS.survey,MIGS/MIMS/MIMARKS.water",11659125,DALHOUSIE UNIVERSITY,2022-04-20,public,"fastq,run.zq,sra","gs,ncbi,s3","gs.us-east1,ncbi.public,s3.us-east-1",1,marine biome (ENVO:00000447),natural harbour (ENVO:00000465),coastal seawater (ENVO:00002150),SRX27647289,uncalculated,uncalculated,Atlantic Ocean: Bedford Basin,Illumina MiSeq,44.6936 N 63.6403 W,BB22_15A_V4V5,PAIRED,PCR,METAGENOMIC,marine metagenome,ILLUMINA,2025-09-17T00:00:00Z,2025-02-11T15:19:00Z,1,BB22_15A,SRP348946,>0.2m,
SRR32311508,AMPLICON,602,54382272,PRJNA785606,SAMN46781240,"MIMARKS.survey,MIGS/MIMS/MIMARKS.water",28576115,DALHOUSIE UNIVERSITY,2022-04-12,public,"fastq,run.zq,sra","gs,ncbi,s3","gs.us-east1,ncbi.public,s3.us-east-1",30,marine biome (ENVO:00000447),natural harbour (ENVO:00000465),coastal seawater (ENVO:00002150),SRX27647288,uncalculated,uncalculated,Atlantic Ocean: Bedford Basin,Illumina MiSeq,44.6936 N 63.6403 W,BB22_14ES_V4V5,PAIRED,PCR,METAGENOMIC,marine metagenome,ILLUMINA,2025-09-17T00:00:00Z,2025-02-11T15:20:00Z,1,BB22_14ES,SRP348946,0.2-3m,
SRR32311509,AMPLICON,602,45621968,PRJNA785606,SAMN46781241,"MIMARKS.survey,MIGS/MIMS/MIMARKS.water",24216958,DALHOUSIE UNIVERSITY,2022-04-12,public,"fastq,run.zq,sra","gs,ncbi,s3","gs.us-east1,ncbi.public,s3.us-east-1",30,marine biome (ENVO:00000447),natural harbour (ENVO:00000465),coastal seawater (ENVO:00002150),SRX27647287,uncalculated,uncalculated,Atlantic Ocean: Bedford Basin,Illumina MiSeq,44.6936 N 63.6403 W,BB22_14EP_V4V5,PAIRED,PCR,METAGENOMIC,marine metagenome,ILLUMINA,2025-09-17T00:00:00Z,2025-02-11T15:20:00Z,1,BB22_14EP,SRP348946,Pooled,
SRR32311510,AMPLICON,602,2882376,PRJNA785606,SAMN46781239,"MIMARKS.survey,MIGS/MIMS/MIMARKS.water",1632469,DALHOUSIE UNIVERSITY,2022-04-12,public,"fastq,run.zq,sra","gs,ncbi,s3","gs.us-east1,ncbi.public,s3.us-east-1",30,marine biome (ENVO:00000447),natural harbour (ENVO:00000465),coastal seawater (ENVO:00002150),SRX27647286,uncalculated,uncalculated,Atlantic Ocean: Bedford Basin,Illumina MiSeq,44.6936 N 63.6403 W,BB22_14EL_V4V5,PAIRED,PCR,METAGENOMIC,marine metagenome,ILLUMINA,2025-09-17T00:00:00Z,2025-02-11T15:18:00Z,1,BB22_14EL,SRP348946,>3m,
SRR32311511,AMPLICON,602,29381212,PRJNA785606,SAMN46781047,"MIMARKS.survey,MIGS/MIMS/MIMARKS.water",17017633,DALHOUSIE UNIVERSITY,2022-01-12,public,"fastq,run.zq,sra","gs,ncbi,s3","gs.us-east1,ncbi.public,s3.us-east-1",60,marine biome (ENVO:00000447),natural harbour (ENVO:00000465),coastal seawater (ENVO:00002150),SRX27647285,uncalculated,uncalculated,Atlantic Ocean: Bedford Basin,Illumina MiSeq,44.6936 N 63.6403 W,BB22_2DL_V4V5,PAIRED,PCR,METAGENOMIC,marine metagenome,ILLUMINA,2025-09-17T00:00:00Z,2025-02-11T15:20:00Z,1,BB22_2DL,SRP348946,>3m,
SRR32311512,AMPLICON,602,61980716,PRJNA785606,SAMN46781238,"MIMARKS.survey,MIGS/MIMS/MIMARKS.water",32996047,DALHOUSIE UNIVERSITY,2022-04-12,public,"fastq,run.zq,sra","gs,ncbi,s3","gs.us-east1,ncbi.public,s3.us-east-1",30,marine biome (ENVO:00000447),natural harbour (ENVO:00000465),coastal seawater (ENVO:00002150),SRX27647284,uncalculated,uncalculated,Atlantic Ocean: Bedford Basin,Illumina MiSeq,44.6936 N 63.6403 W,BB22_14E_V4V5,PAIRED,PCR,METAGENOMIC,marine metagenome,ILLUMINA,2025-09-17T00:00:00Z,2025-02-11T15:20:00Z,1,BB22_14E,SRP348946,>0.2m,
SRR32311513,AMPLICON,602,44851408,PRJNA785606,SAMN46781244,"MIMARKS.survey,MIGS/MIMS/MIMARKS.water",24321449,DALHOUSIE UNIVERSITY,2022-04-12,public,"fastq,run.zq,sra","gs,ncbi,s3","gs.us-east1,ncbi.public,s3.us-east-1",60,marine biome (ENVO:00000447),natural harbour (ENVO:00000465),coastal seawater (ENVO:00002150),SRX27647283,uncalculated,uncalculated,Atlantic Ocean: Bedford Basin,Illumina MiSeq,44.6936 N 63.6403 W,BB22_14DS_V4V5,PAIRED,PCR,METAGENOMIC,marine metagenome,ILLUMINA,2025-09-17T00:00:00Z,2025-02-11T15:18:00Z,1,BB22_14DS,SRP348946,0.2-3m,
SRR32311514,AMPLICON,602,12260934,PRJNA785606,SAMN46781243,"MIMARKS.survey,MIGS/MIMS/MIMARKS.water",6537908,DALHOUSIE UNIVERSITY,2022-04-12,public,"fastq,run.zq,sra","gs,ncbi,s3","gs.us-east1,ncbi.public,s3.us-east-1",60,marine biome (ENVO:00000447),natural harbour (ENVO:00000465),coastal seawater (ENVO:00002150),SRX27647282,uncalculated,uncalculated,Atlantic Ocean: Bedford Basin,Illumina MiSeq,44.6936 N 63.6403 W,BB22_14DL_V4V5,PAIRED,PCR,METAGENOMIC,marine metagenome,ILLUMINA,2025-09-17T00:00:00Z,2025-02-11T15:19:00Z,1,BB22_14DL,SRP348946,>3m,
SRR32311515,AMPLICON,602,15204714,PRJNA785606,SAMN46781242,"MIMARKS.survey,MIGS/MIMS/MIMARKS.water",8684778,DALHOUSIE UNIVERSITY,2022-04-12,public,"fastq,run.zq,sra","gs,ncbi,s3","gs.us-east1,ncbi.public,s3.us-east-1",60,marine biome (ENVO:00000447),natural harbour (ENVO:00000465),coastal seawater (ENVO:00002150),SRX27647281,uncalculated,uncalculated,Atlantic Ocean: Bedford Basin,Illumina MiSeq,44.6936 N 63.6403 W,BB22_14D_V4V5,PAIRED,PCR,METAGENOMIC,marine metagenome,ILLUMINA,2025-09-17T00:00:00Z,2025-02-11T15:18:00Z,1,BB22_14D,SRP348946,>0.2m,
SRR32311516,AMPLICON,602,33906446,PRJNA785606,SAMN46781237,"MIMARKS.survey,MIGS/MIMS/MIMARKS.water",17972614,DALHOUSIE UNIVERSITY,2022-04-12,public,"fastq,run.zq,sra","gs,ncbi,s3","gs.us-east1,ncbi.public,s3.us-east-1",10,marine biome (ENVO:00000447),natural harbour (ENVO:00000465),coastal seawater (ENVO:00002150),SRX27647280,uncalculated,uncalculated,Atlantic Ocean: Bedford Basin,Illumina MiSeq,44.6936 N 63.6403 W,BB22_14CS_V4V5,PAIRED,PCR,METAGENOMIC,marine metagenome,ILLUMINA,2025-09-17T00:00:00Z,2025-02-11T15:19:00Z,1,BB22_14CS,SRP348946,0.2-3m,
