Genus,L1,S1,W1,feature_frequency
g__Candidatus_Aquiluna,1.0,1.0,1.0,2508.0
g__Candidatus_Berkiella,0.0,1.0,1.0,204.0
g__Candidatus_Endoecteinascidia,0.0,1.0,1.0,116.0
g__Candidatus_Megaira,1.0,1.0,1.0,855.0
g__Candidatus_Methylopumilus,1.0,1.0,1.0,445.0
g__Candidatus_Nitrosopelagicus,1.0,1.0,0.0,823.0
g__Candidatus_Nitrosopumilus,1.0,1.0,1.0,70755.0
g__Candidatus_Omnitrophus,1.0,1.0,1.0,119.0
g__Candidatus_Puniceispirillum,1.0,1.0,1.0,7910.0
g__Candidatus_Tenderia,1.0,1.0,1.0,282.0
g__Capitellida,0.0,1.0,1.0,3578.0
g__Cavicella,1.0,0.0,0.0,64.0
g__Cellvibrio,1.0,1.0,1.0,60.0
g__Cerasicoccus,1.0,1.0,0.0,30.0
g__Chaetoceros,1.0,1.0,1.0,49846.0
g__Chloroplast,1.0,1.0,1.0,380941.0
g__Christensenellaceae_R-7_group,1.0,1.0,1.0,326.0
g__Chryseobacterium,1.0,1.0,1.0,1091.0
g__Chrysochromulina,0.0,0.0,1.0,4214.0
g__Chrysophyceae,1.0,1.0,1.0,2104.0
g__Chytriodinium,1.0,1.0,1.0,1390.0
g__Clade_II,1.0,1.0,1.0,39644.0
g__Clade_III,0.0,1.0,1.0,4757.0
g__Clade_IV,1.0,1.0,1.0,2919.0
g__Clade_Ia,1.0,1.0,1.0,105757.0
g__Clade_Ib,1.0,1.0,1.0,725.0
g__Clavibacter,0.0,1.0,0.0,45.0
g__Cloacibacterium,0.0,1.0,0.0,40.0
g__Clostridia_UCG-014,1.0,1.0,1.0,40.0
g__Clostridium_sensu_stricto_1,0.0,0.0,1.0,12.0
g__Clostridium_sensu_stricto_13,1.0,0.0,0.0,116.0
g__Cm1-21,1.0,1.0,1.0,7879.0
g__Collimonas,1.0,1.0,1.0,309.0
g__Colwellia,1.0,1.0,1.0,46301.0
g__Comamonas,0.0,1.0,0.0,103.0
g__Coxiella,1.0,1.0,1.0,1727.0
g__Croceibacter,1.0,1.0,1.0,159.0
g__Croceicoccus,1.0,1.0,1.0,680.0
g__Crocinitomix,1.0,1.0,1.0,38910.0
g__Cryothecomonas,1.0,1.0,1.0,1444.0
g__Cryptocaryon,1.0,1.0,1.0,14354.0
g__Cupriavidus,1.0,0.0,0.0,23.0
g__Curvibacter,1.0,0.0,1.0,415.0
g__Cyclopoida,1.0,1.0,1.0,49725.0
g__Cydippida,0.0,1.0,1.0,3120.0
g__Cyphellophora,1.0,1.0,0.0,1868.0
g__Cytophaga,0.0,0.0,1.0,6.0
g__D2P04A09,1.0,0.0,0.0,470.0
g__DEV007,1.0,1.0,1.0,12605.0
g__DMER64,0.0,1.0,1.0,30.0
g__Dadabacteriales,1.0,1.0,1.0,3527.0
g__Dechloromonas,1.0,1.0,1.0,1172.0
g__Delftia,1.0,0.0,0.0,52.0
g__Desulfatiglans,1.0,1.0,1.0,229.0
g__Desulfofrigus,1.0,1.0,1.0,721.0
g__Desulforhopalus,1.0,0.0,1.0,28.0
g__Desulfosarcina,0.0,0.0,1.0,93.0
g__Desulfotalea,1.0,1.0,0.0,134.0
g__Desulfovibrio,1.0,0.0,0.0,18.0
g__Devosia,1.0,0.0,0.0,18.0
g__Dialister,1.0,1.0,1.0,50.0
g__Diplosphaera,1.0,1.0,1.0,40.0
g__Dokdonella,0.0,1.0,1.0,49.0
g__Dorea,1.0,0.0,0.0,127.0
g__Draconibacterium,1.0,1.0,1.0,66.0
g__Duboscquella,0.0,1.0,0.0,2772.0
g__Duganella,0.0,0.0,1.0,11.0
g__Dyadobacter,0.0,0.0,1.0,67.0
g__Dyella,1.0,1.0,1.0,4885.0
g__Dysgonomonas,0.0,1.0,0.0,4.0
g__EF100-94H03,1.0,1.0,1.0,1162.0
g__EV818SWSAP88,1.0,1.0,1.0,219.0
g__Edaphobaculum,0.0,1.0,1.0,50.0
g__Eel-36e1D6,0.0,0.0,1.0,6.0
g__Empedobacter,1.0,1.0,0.0,16.0
g__Epalxella,1.0,0.0,0.0,8.0
g__Erysipelotrichaceae_UCG-003,1.0,1.0,1.0,36.0
g__Erythrobacter,1.0,1.0,1.0,2419.0
g__Escherichia-Shigella,0.0,1.0,0.0,52.0
g__Esquamula,1.0,0.0,0.0,82.0
g__Eudoraea,0.0,1.0,0.0,129.0
g__FS140-16B-02_marine_group,1.0,1.0,1.0,3021.0
g__FTLpost3,1.0,1.0,1.0,21.0
g__Faecalibacterium,1.0,1.0,1.0,1483.0
g__Ferruginibacter,1.0,0.0,1.0,67.0
g__Filobasidium,1.0,1.0,1.0,2694.0
g__Filomicrobium,1.0,1.0,1.0,1848.0
g__Flamella,1.0,1.0,1.0,1030.0
g__Flavicella,0.0,0.0,1.0,40.0
g__Flavobacterium,1.0,1.0,1.0,3687.0
g__Florenciella,0.0,1.0,1.0,2985.0
g__Fluviicola,1.0,1.0,1.0,80469.0
g__Formosa,1.0,1.0,1.0,7683.0
g__Francisella,0.0,1.0,0.0,83.0
g__Fuerstia,1.0,1.0,1.0,28819.0
g__Fusibacter,0.0,1.0,0.0,47.0
g__Fusicatenibacter,1.0,0.0,1.0,67.0
g__Fusobacterium,0.0,0.0,1.0,15.0
g__GKS98_freshwater_group,1.0,1.0,1.0,156.0
g__Ga0077536,1.0,1.0,1.0,3524.0
g__Geopsychrobacter,1.0,0.0,0.0,81.0
g__Gimesia,1.0,1.0,1.0,8145.0
g__Glaciecola,1.0,1.0,1.0,34720.0
g__Gramella,1.0,1.0,0.0,58.0
g__Granulicella,0.0,1.0,0.0,14.0
g__Guinardia,0.0,1.0,0.0,40.0
g__Gymnodinium,1.0,1.0,1.0,9221.0
g__Gyrodinium,1.0,1.0,1.0,42677.0
g__HOC36,1.0,1.0,1.0,689.0
g__Halioglobus,1.0,1.0,1.0,5182.0
g__Halobacteriovorax,1.0,1.0,1.0,5590.0
g__Halomonas,1.0,1.0,1.0,425.0
g__Haplozoon,1.0,1.0,0.0,5093.0
g__Haramonas,0.0,0.0,1.0,35.0
g__Hellea,1.0,1.0,1.0,133.0
g__Hemiselmis,1.0,1.0,1.0,12202.0
g__Henriciella,1.0,1.0,1.0,181.0
g__Hoeflea,0.0,1.0,0.0,21.0
g__Holdemanella,0.0,1.0,1.0,24.0
g__Hydrogenedensaceae,1.0,1.0,1.0,1871.0
g__Hydrogenophaga,1.0,1.0,1.0,2449.0
g__Hydrotalea,0.0,0.0,1.0,190.0
g__Hymenoptera,1.0,1.0,1.0,5822.0
g__Hyphomonas,1.0,1.0,1.0,444.0
g__Hypnocyclicus,0.0,1.0,1.0,433.0
g__IS-44,1.0,1.0,1.0,4686.0
g__Idiomarina,0.0,1.0,1.0,310.0
g__IheB3-7,1.0,0.0,1.0,6.0
g__Ilumatobacter,1.0,1.0,1.0,1656.0
g__Izemoplasmataceae,0.0,1.0,1.0,83.0
g__Izimaplasma,1.0,1.0,1.0,85.0
g__JG30-KF-CM66,1.0,0.0,1.0,54.0
g__JG36-TzT-191,0.0,0.0,1.0,12.0
g__JL-ETNP-F27,1.0,1.0,1.0,1414.0
g__JS1,0.0,1.0,0.0,8.0
g__JTB215,1.0,1.0,0.0,103.0
g__JTB23,1.0,1.0,1.0,359.0
g__Janthinobacterium,0.0,1.0,1.0,466.0
g__KF-JG30-B3,1.0,1.0,1.0,1175.0
g__KI89A_clade,1.0,1.0,1.0,4948.0
g__Kaistia,1.0,0.0,0.0,6.0
g__Karlodinium,1.0,1.0,1.0,8480.0
g__Kordiimonas,1.0,1.0,1.0,2504.0
g__LCP-89,1.0,1.0,0.0,48.0
g__LK-44f,1.0,1.0,1.0,38.0
g__LS-NOB,1.0,1.0,1.0,81685.0
g__Lachnospiraceae_NK4A136_group,1.0,1.0,1.0,17.0
g__Lacibacter,1.0,0.0,0.0,2.0
g__Lactococcus,1.0,1.0,1.0,372.0
g__Lagenoeca,0.0,0.0,1.0,1205.0
g__Latescibacterota,1.0,1.0,0.0,198.0
g__Leeuwenhoekiella,1.0,1.0,1.0,301.0
g__Legionella,1.0,1.0,1.0,1081.0
g__Lentibacter,0.0,1.0,1.0,2155.0
g__Lentilitoribacter,1.0,0.0,1.0,11.0
g__Lentimicrobiaceae,1.0,1.0,1.0,64.0
g__Lentimonas,1.0,1.0,1.0,1060.0
g__Lentisphaera,0.0,1.0,0.0,95.0
g__Leptothecata,1.0,1.0,1.0,9853.0
g__Leptotrichia,1.0,1.0,1.0,2678.0
g__Leucocryptos,1.0,1.0,1.0,15333.0
g__Leucothrix,0.0,1.0,0.0,6.0
g__Lewinella,1.0,1.0,1.0,39062.0
g__Limnobacter,0.0,1.0,0.0,227.0
g__Limnohabitans,1.0,1.0,1.0,119.0
g__Litoricola,1.0,1.0,1.0,1111.0
g__Luminiphilus,1.0,1.0,1.0,5392.0
g__Luteibaculum,1.0,1.0,1.0,659.0
g__Luteimonas,0.0,0.0,1.0,6.0
g__Lutibacter,0.0,1.0,1.0,192.0
g__Lutimonas,0.0,1.0,0.0,82.0
g__MAST-1A,1.0,1.0,1.0,48649.0
g__MAST-1B,1.0,1.0,1.0,20615.0
g__MAST-1C,1.0,1.0,1.0,15293.0
g__MAST-2,1.0,1.0,1.0,24239.0
g__MAST-3I,1.0,1.0,0.0,538.0
g__MAST-4,0.0,1.0,1.0,31446.0
g__MAST-6,0.0,1.0,0.0,4062.0
g__MAST-7A,1.0,1.0,1.0,28133.0
g__MAST-7B,0.0,1.0,1.0,2584.0
g__MB11C04_marine_group,1.0,1.0,0.0,387.0
g__MD3-55,1.0,1.0,1.0,2202.0
g__MSB-1D1,0.0,0.0,1.0,41.0
g__MSBL3,0.0,1.0,0.0,43.0
g__Macellibacteroides,1.0,0.0,1.0,83.0
g__Magnetospira,1.0,1.0,1.0,18448.0
g__Magnetovibrio,1.0,1.0,1.0,37.0
g__Magnoliophyta,1.0,1.0,0.0,1927.0
g__Margulisbacteria,1.0,1.0,1.0,318.0
g__Maribacter,1.0,0.0,0.0,34.0
g__Marine_Group_II,1.0,1.0,1.0,36715.0
g__Marine_Group_III,1.0,0.0,0.0,50.0
g__Marinicella,0.0,0.0,1.0,10.0
g__Marinifilum,1.0,1.0,1.0,857.0
g__Marinimicrobia_(SAR406_clade),1.0,1.0,1.0,32384.0
g__Marinobacter,0.0,1.0,0.0,170.0
g__Marinomonas,1.0,0.0,1.0,11.0
g__Marinoscillum,1.0,1.0,1.0,14609.0
g__Mariprofundus,1.0,1.0,1.0,2347.0
g__Maritimimonas,1.0,0.0,0.0,27.0
g__Martelella,1.0,1.0,1.0,126.0
g__Massilia,1.0,1.0,1.0,132.0
g__Megamonas,0.0,1.0,1.0,214.0
g__Mesonia,0.0,0.0,1.0,125.0
g__Methanolinea,0.0,1.0,0.0,2.0
g__Methylobacter,0.0,1.0,0.0,35.0
g__Methylobacterium-Methylorubrum,1.0,1.0,0.0,46.0
g__Methylotenera,1.0,1.0,0.0,98.0
g__Micromonas,1.0,1.0,1.0,33620.0
g__Milano-WF1B-03,1.0,1.0,1.0,1203.0
g__Mitochondria,1.0,1.0,1.0,36538.0
g__Moraxellaceae,0.0,0.0,1.0,33.0
g__Moritella,1.0,1.0,1.0,910.0
g__Muricauda,1.0,0.0,0.0,28.0
g__Myoida,1.0,1.0,1.0,177.0
g__Myrionecta,0.0,1.0,1.0,2720.0
g__NB1-j,1.0,1.0,1.0,16348.0
g__NK4A214_group,0.0,1.0,0.0,11.0
g__NRL2,0.0,1.0,0.0,29.0
g__NS10_marine_group,1.0,1.0,1.0,5565.0
g__NS11-12_marine_group,1.0,1.0,1.0,50943.0
g__NS2b_marine_group,1.0,1.0,1.0,18403.0
g__NS3a_marine_group,1.0,1.0,1.0,101584.0
g__NS4_marine_group,1.0,1.0,1.0,48018.0
g__NS5_marine_group,1.0,1.0,1.0,120288.0
g__NS7_marine_group,1.0,1.0,1.0,10614.0
g__NS9_marine_group,1.0,1.0,1.0,183668.0
g__Neoceratium,0.0,1.0,0.0,150.0
g__Nevskia,0.0,1.0,1.0,162.0
g__Nitrosomonas,1.0,1.0,1.0,8955.0
g__Nitrospina,1.0,1.0,1.0,10123.0
g__Nocardioides,1.0,1.0,1.0,149.0
g__Novel_Clade_2,1.0,1.0,0.0,6130.0
g__Noviherbaspirillum,0.0,1.0,0.0,6.0
g__Novosphingobium,1.0,1.0,0.0,52.0
g__OCS116_clade,1.0,1.0,1.0,12815.0
g__OLI51059,0.0,1.0,0.0,1035.0
g__OM182_clade,1.0,1.0,1.0,19503.0
g__OM190,1.0,1.0,1.0,148785.0
g__OM27_clade,1.0,1.0,1.0,25386.0
g__OM43_clade,1.0,1.0,1.0,47062.0
g__OM60(NOR5)_clade,1.0,1.0,1.0,4858.0
g__OM75_clade,1.0,1.0,1.0,4992.0
g__Obscuribacteraceae,1.0,0.0,0.0,25.0
g__Oceanococcus,0.0,0.0,1.0,271.0
g__Octadecabacter,1.0,1.0,1.0,5311.0
g__Odoribacter,1.0,1.0,1.0,148.0
g__Oleiphilus,1.0,0.0,0.0,175.0
g__Oleispira,0.0,1.0,1.0,135.0
g__Olleya,0.0,1.0,0.0,8.0
g__Opisthonecta,1.0,1.0,1.0,1178.0
g__Oscillibacter,1.0,1.0,1.0,37.0
g__P3OB-42,1.0,1.0,1.0,948.0
g__PAUC34f,1.0,1.0,1.0,3199.0
g__PB19,1.0,1.0,1.0,2045.0
g__PHOS-HE36,0.0,1.0,0.0,16.0
g__Palpitomonas,1.0,1.0,1.0,12321.0
g__Paludibacter,1.0,1.0,0.0,160.0
g__Pantoea,0.0,0.0,1.0,246.0
g__Parabacteroides,1.0,1.0,1.0,389.0
g__Paracoccus,0.0,1.0,0.0,26.0
g__Paraglaciecola,1.0,1.0,1.0,46.0
g__Paraphysomonas,1.0,1.0,1.0,9619.0
g__Parasutterella,1.0,0.0,0.0,20.0
g__Pav3,0.0,1.0,0.0,165.0
g__PeM15,1.0,1.0,1.0,3489.0
g__Pedinellales,1.0,1.0,0.0,5727.0
g__Pedobacter,1.0,1.0,1.0,593.0
g__Pelagicoccus,1.0,1.0,1.0,335.0
g__Pelagostrobilidium,0.0,1.0,0.0,8251.0
g__Pelosinus,1.0,1.0,0.0,430.0
g__Peredibacter,1.0,1.0,1.0,1904.0
g__Persicirhabdus,1.0,1.0,1.0,16078.0
g__Persicitalea,1.0,1.0,1.0,173.0
g__Phaeocystis,1.0,1.0,1.0,44428.0
g__Phascolarctobacterium,1.0,0.0,1.0,465.0
g__Phenylobacterium,1.0,0.0,0.0,47.0
g__Photobacterium,0.0,1.0,1.0,40.0
g__Phyllodocida,0.0,1.0,0.0,4707.0
g__Picochlorum,1.0,0.0,0.0,54.0
g__Picomonadida,1.0,1.0,1.0,2644.0
g__Picozoa,1.0,1.0,1.0,3212.0
g__Pithites,1.0,1.0,1.0,9617.0
g__Pla3_lineage,0.0,1.0,0.0,12.0
g__Planctomicrobium,1.0,1.0,1.0,15455.0
g__Planktomarina,1.0,1.0,1.0,67173.0
g__Planktotalea,1.0,1.0,1.0,11207.0
g__Pleurasiga,0.0,1.0,1.0,360.0
g__Ploimida,1.0,1.0,1.0,7707.0
g__Polaribacter,1.0,1.0,1.0,79351.0
g__Polaromonas,1.0,1.0,1.0,1397.0
g__Polycyclovorans,1.0,1.0,1.0,1287.0
g__Polynucleobacter,1.0,1.0,1.0,5161.0
g__Ponticaulis,0.0,0.0,1.0,22.0
g__Porticoccus,1.0,1.0,1.0,10623.0
g__Prevotella,1.0,0.0,0.0,42.0
g__Prevotella_7,1.0,0.0,0.0,163.0
g__Prevotella_9,1.0,1.0,1.0,5796.0
g__Profundimonas,0.0,0.0,1.0,36.0
g__Protaspis,0.0,1.0,1.0,5907.0
g__Protosporangium,1.0,0.0,0.0,3761.0
g__Pseudarcicella,1.0,1.0,1.0,528.0
g__Pseudoalteromonas,1.0,1.0,1.0,1488.0
g__Pseudofulvibacter,0.0,1.0,1.0,520.0
g__Pseudohongiella,1.0,1.0,1.0,68875.0
g__Pseudolabrys,0.0,0.0,1.0,2.0
g__Pseudomonas,1.0,1.0,1.0,1035.0
g__Pseudonocardia,0.0,1.0,1.0,20.0
g__Pseudooceanicola,0.0,0.0,1.0,56.0
g__Pseudopirsonia,0.0,0.0,1.0,1008.0
g__Pseudotontonia,0.0,1.0,1.0,1095.0
g__Psychrilyobacter,1.0,1.0,1.0,951.0
g__Psychrobacter,1.0,1.0,1.0,242.0
g__Psychrobium,0.0,0.0,1.0,18.0
g__Psychromonas,1.0,1.0,1.0,1004.0
g__Puccinia,0.0,1.0,1.0,4808.0
g__Pyramimonas,1.0,1.0,1.0,4409.0
g__R76-B128,1.0,1.0,1.0,314.0
g__R7C24,1.0,1.0,1.0,105.0
g__RF39,0.0,1.0,0.0,2.0
g__RS62_marine_group,1.0,1.0,1.0,14793.0
g__Reyranella,1.0,1.0,1.0,168.0
g__Rhizobacter,1.0,0.0,0.0,8.0
g__Rhodococcus,0.0,1.0,1.0,148.0
g__Rhodoferax,1.0,1.0,1.0,8099.0
g__Rhodopirellula,0.0,1.0,1.0,1139.0
g__Rickettsiella,0.0,0.0,1.0,115.0
g__Rimostrombidium,1.0,1.0,1.0,17822.0
g__Rivicola,1.0,1.0,1.0,492.0
g__Roseburia,1.0,0.0,1.0,44.0
g__Roseibacillus,1.0,1.0,1.0,3977.0
g__Roseivirga,0.0,1.0,0.0,54.0
g__Roseobacter_clade_NAC11-7_lineage,1.0,1.0,1.0,15760.0
g__Roseococcus,0.0,1.0,0.0,221.0
g__Roseomonas,0.0,0.0,1.0,6.0
g__Rubidimonas,1.0,1.0,1.0,405.0
g__Rubinisphaera,1.0,1.0,0.0,1010.0
g__Rubripirellula,1.0,1.0,1.0,11932.0
g__Rubrivirga,0.0,1.0,0.0,42.0
g__Ruminococcus,1.0,1.0,0.0,85.0
g__S25-593,1.0,1.0,1.0,489.0
g__SAR116_clade,1.0,1.0,1.0,23173.0
g__SAR202_clade,1.0,1.0,1.0,4186.0
g__SAR324_clade(Marine_group_B),1.0,1.0,1.0,22978.0
g__SAR86_clade,1.0,1.0,1.0,44107.0
g__SAR92_clade,1.0,1.0,1.0,18264.0
g__SB-5,0.0,1.0,0.0,4.0
g__SCGC_AAA011-D5,0.0,1.0,0.0,78.0
g__SCGC_AAA164-E04,1.0,1.0,1.0,5029.0
g__SEEP-SRB1,1.0,1.0,1.0,237.0
g__SG8-4,1.0,0.0,0.0,45.0
g__SS1-B-07-19,1.0,1.0,1.0,3509.0
g__ST-12K33,0.0,1.0,0.0,27.0
g__SUP05_cluster,1.0,1.0,1.0,126817.0
g__Saccharimonadales,1.0,1.0,1.0,226.0
g__Saccharospirillaceae,1.0,1.0,1.0,603.0
g__Salinicola,0.0,1.0,1.0,2972.0
g__Salinirepens,1.0,1.0,1.0,264.0
g__Salinisphaera,1.0,1.0,1.0,1007.0
g__Sediminibacterium,1.0,1.0,1.0,2932.0
g__Sessilia,0.0,1.0,1.0,649.0
g__Shewanella,1.0,0.0,1.0,248.0
g__Simplicispira,0.0,1.0,1.0,66.0
g__Sinobacterium,1.0,0.0,1.0,22.0
g__Skeletonema,0.0,1.0,0.0,1865.0
g__Smithella,0.0,1.0,1.0,36.0
g__Sphaerochaeta,0.0,1.0,1.0,343.0
g__Sphingobium,1.0,1.0,1.0,124.0
g__Sphingomonas,1.0,1.0,1.0,656.0
g__Sphingopyxis,1.0,1.0,1.0,1047.0
g__Sphingorhabdus,1.0,1.0,1.0,175.0
g__Spionida,0.0,1.0,0.0,4226.0
g__Spirotontonia,1.0,1.0,1.0,18516.0
g__Spongiibacter,1.0,1.0,1.0,276.0
g__Staphylococcus,1.0,0.0,0.0,6.0
g__Stappiaceae,1.0,1.0,0.0,50.0
g__Stenosemella,1.0,1.0,1.0,634.0
g__Stenotrophomonas,1.0,1.0,1.0,856.0
g__Stephanoeca,1.0,0.0,0.0,460.0
g__Streptococcus,1.0,1.0,1.0,68.0
g__Strombidium,1.0,1.0,1.0,39466.0
g__Subdoligranulum,1.0,1.0,1.0,277.0
g__Subgroup_10,0.0,0.0,1.0,26.0
g__Subgroup_17,0.0,0.0,1.0,4.0
g__Subgroup_22,0.0,1.0,0.0,36.0
g__Subgroup_23,0.0,1.0,1.0,47.0
g__Subgroup_26,1.0,1.0,0.0,8.0
g__Sulfitobacter,1.0,1.0,1.0,56035.0
g__Sulfurimonas,0.0,1.0,0.0,38.0
g__Sva0996_marine_group,1.0,1.0,1.0,5150.0
g__Syndiniales_Group_I,1.0,1.0,1.0,102896.0
g__Syndiniales_Group_II,1.0,1.0,1.0,94708.0
g__Syndiniales_Group_III,1.0,1.0,1.0,14548.0
g__Synechococcus_CC9902,1.0,1.0,1.0,2871.0
g__Syntrophorhabdus,1.0,0.0,0.0,4.0
g__T34,1.0,1.0,1.0,77.0
g__TRA3-20,1.0,1.0,1.0,115.0
g__Taeseokella,1.0,1.0,1.0,3841.0
g__Tateyamaria,0.0,0.0,1.0,132.0
g__Teleaulax,1.0,1.0,1.0,121519.0
g__Telonema,1.0,1.0,1.0,14557.0
g__Temperatibacter,0.0,1.0,0.0,4.0
g__Terasakiella,0.0,1.0,1.0,308.0
g__Terrimonas,1.0,0.0,0.0,4.0
g__Thalassiosira,1.0,1.0,1.0,52333.0
g__Thalassobaculum,0.0,0.0,1.0,41.0
g__Thalassospira,0.0,1.0,1.0,713.0
g__Thermomonas,0.0,1.0,0.0,22.0
g__Thermovirga,0.0,1.0,1.0,94.0
g__Tintinnidium,1.0,1.0,1.0,2231.0
g__Tintinnopsis,0.0,1.0,0.0,2887.0
g__Trichococcus,0.0,0.0,1.0,240.0
g__Truepera,1.0,0.0,1.0,12.0
g__Turneriella,0.0,1.0,0.0,30.0
g__UBA10353_marine_group,0.0,1.0,1.0,286.0
g__UBA12409,1.0,1.0,1.0,259.0
g__UCG-002,1.0,1.0,1.0,406.0
g__UCG-005,0.0,1.0,0.0,62.0
g__Ulvibacter,1.0,1.0,1.0,54294.0
g__Undibacterium,1.0,0.0,0.0,110.0
g__Unknown_Family,1.0,1.0,1.0,713.0
g__Uruburuella,0.0,1.0,0.0,82.0
g__Variovorax,1.0,1.0,0.0,16.0
g__Vibrio,0.0,0.0,1.0,25.0
g__Vicingus,1.0,1.0,1.0,14911.0
g__Vitellibacter,0.0,1.0,0.0,44.0
g__Vitreoscilla,1.0,1.0,0.0,12.0
g__W27,0.0,1.0,1.0,687.0
g__W5,0.0,1.0,1.0,288.0
g__WD260,0.0,1.0,0.0,11.0
g__WPS-2,1.0,1.0,1.0,423.0
g__Woesearchaeales,0.0,1.0,0.0,175.0
g__Woeseia,1.0,1.0,1.0,4860.0
g__Xanthomonas,1.0,0.0,0.0,4.0
g__Yoonia-Loktanella,1.0,1.0,1.0,36951.0
g__Zavarzinella,0.0,0.0,1.0,4.0
g__Zoogloea,1.0,1.0,1.0,1976.0
g__[Agitococcus]_lubricus_group,1.0,0.0,1.0,158.0
g__[Desulfobacterium]_catecholicum_group,0.0,1.0,0.0,6.0
g__[Eubacterium]_coprostanoligenes_group,1.0,0.0,1.0,43.0
g__alphaI_cluster,1.0,1.0,0.0,1005.0
g__endosymbionts,1.0,1.0,1.0,489.0
g__env.OPS_17,1.0,1.0,1.0,486.0
g__hgcI_clade,1.0,1.0,1.0,1139.0
g__koll11,0.0,0.0,1.0,14.0
g__uncultured,1.0,1.0,1.0,740681.0
