Genus,L10,S10,SL10,W10,feature_frequency
g__Blastocatella,1.0,0.0,1.0,0.0,14.964693747542366
g__Blastopirellula,1.0,1.0,1.0,1.0,46861.371949057546
g__Blautia,1.0,1.0,1.0,1.0,375.1361514101652
g__Blfdi19,1.0,1.0,1.0,0.0,211.31275630013215
g__Bradymonadales,1.0,1.0,1.0,1.0,1283.4723024830453
g__Bradyrhizobium,1.0,1.0,1.0,0.0,303.7008754574149
g__Brevundimonas,1.0,1.0,1.0,0.0,217.61239514812132
g__Brumimicrobium,1.0,1.0,1.0,0.0,198.12002277552983
g__Bryobacter,1.0,0.0,1.0,0.0,57.033385131863206
g__Burkholderia-Caballeronia-Paraburkholderia,1.0,0.0,1.0,0.0,37.931308888894314
g__Butyricicoccus,0.0,1.0,1.0,0.0,34.086190962956024
g__Butyricimonas,0.0,1.0,1.0,1.0,30.768762644318535
g__C1-B045,0.0,1.0,1.0,0.0,41.42357068219137
g__C39,0.0,1.0,1.0,1.0,37.04262293486933
g__CHAB-XI-27,0.0,0.0,0.0,1.0,238.75893252633568
g__CL500-29_marine_group,1.0,0.0,1.0,0.0,17.44891368173811
g__CL500-3,1.0,1.0,1.0,1.0,16330.71735803329
g__Calditrichaceae,1.0,0.0,1.0,0.0,39.56991609498152
g__Candidatus_Actinomarina,1.0,1.0,1.0,1.0,34543.50793994828
g__Candidatus_Amoebophilus,0.0,0.0,0.0,1.0,2.0
g__Candidatus_Aquiluna,0.0,1.0,1.0,1.0,4833.944959906363
g__Candidatus_Bacilloplasma,0.0,1.0,1.0,0.0,14.553666828557553
g__Candidatus_Berkiella,1.0,1.0,1.0,0.0,605.5576956152555
g__Candidatus_Endoecteinascidia,1.0,1.0,1.0,1.0,201.40732980368176
g__Candidatus_Koribacter,0.0,1.0,1.0,0.0,4.969230769230769
g__Candidatus_Latescibacter,1.0,0.0,1.0,0.0,18.989648593931133
g__Candidatus_Megaira,1.0,1.0,1.0,1.0,1333.4603297212711
g__Candidatus_Methylopumilus,1.0,1.0,1.0,1.0,1309.172360853649
g__Candidatus_Nitrosopelagicus,0.0,1.0,1.0,1.0,801.1451255787757
g__Candidatus_Nitrosopumilus,1.0,1.0,1.0,1.0,424994.07997707126
g__Candidatus_Omnitrophus,0.0,1.0,1.0,1.0,774.6403250284178
g__Candidatus_Paraholospora,1.0,0.0,1.0,0.0,2.4135188866799204
g__Candidatus_Puniceispirillum,1.0,1.0,1.0,1.0,12580.599793191308
g__Candidatus_Tenderia,0.0,1.0,1.0,1.0,221.1517999431829
g__Candidatus_Udaeobacter,1.0,0.0,1.0,0.0,2.619718309859155
g__Cavicella,1.0,0.0,1.0,0.0,64.97114643862176
g__Cellvibrio,0.0,1.0,1.0,1.0,196.8314328271927
g__Cephaloticoccus,0.0,1.0,1.0,0.0,9.783216783216783
g__Cerasicoccus,1.0,0.0,1.0,1.0,43.99442767166055
g__Chloroplast,1.0,1.0,1.0,1.0,1184857.681520143
g__Christensenellaceae_R-7_group,1.0,1.0,1.0,1.0,283.3701325326809
g__Chryseobacterium,1.0,1.0,1.0,1.0,2076.2987638477266
g__Chthoniobacter,0.0,0.0,0.0,1.0,9.171779141104295
g__Clade_II,1.0,1.0,1.0,1.0,99343.93962362473
g__Clade_III,1.0,1.0,1.0,1.0,7123.80891818114
g__Clade_IV,1.0,1.0,1.0,1.0,2979.146105734656
g__Clade_Ia,1.0,1.0,1.0,1.0,365001.84865938086
g__Clade_Ib,0.0,1.0,1.0,1.0,967.4391338872008
g__Clavibacter,0.0,1.0,1.0,0.0,130.96422993828935
g__Cloacibacterium,0.0,1.0,1.0,1.0,41.52126719488546
g__Clostridia_vadinBB60_group,0.0,0.0,0.0,1.0,23.805169244477565
g__Clostridium_sensu_stricto_1,0.0,1.0,1.0,1.0,17.502793296089386
g__Clostridium_sensu_stricto_13,1.0,1.0,1.0,0.0,190.4737278263334
g__Cm1-21,1.0,1.0,1.0,1.0,6705.1060955279945
g__Cocleimonas,0.0,0.0,0.0,1.0,16.733725518677222
g__Colidextribacter,0.0,1.0,1.0,0.0,28.237614622476926
g__Colwellia,1.0,1.0,1.0,1.0,181766.49617773812
g__Comamonas,1.0,1.0,1.0,1.0,174.2706238469698
g__Coprococcus,0.0,0.0,0.0,1.0,10.198907455012854
g__Coxiella,1.0,1.0,1.0,1.0,2345.981217082912
g__Croceibacter,1.0,1.0,1.0,1.0,516.4808356132158
g__Croceicoccus,1.0,1.0,1.0,1.0,773.2910822658141
g__Crocinitomix,1.0,1.0,1.0,1.0,55390.34567094731
g__Cryomorpha,1.0,0.0,1.0,0.0,6.227754965533899
g__Curvibacter,0.0,1.0,1.0,0.0,4412.205250399144
g__Cyclobacterium,0.0,1.0,1.0,0.0,22.93368099047624
g__Cycloclasticus,1.0,1.0,1.0,1.0,123.26668470924388
g__Cytophaga,1.0,0.0,1.0,0.0,34.630395502775364
g__DEV007,1.0,1.0,1.0,1.0,14227.141903774345
g__Dadabacteriales,0.0,1.0,1.0,1.0,5710.928410600058
g__Dechloromonas,1.0,1.0,1.0,1.0,1369.8110308657979
g__Defluviitaleaceae_UCG-011,1.0,0.0,1.0,1.0,16.880184907546226
g__Desulfatiglans,0.0,0.0,0.0,1.0,192.68768529187793
g__Desulfofrigus,0.0,0.0,0.0,1.0,788.6644087667788
g__Desulfomicrobium,0.0,0.0,0.0,1.0,2.0
g__Desulfoplanes,0.0,0.0,0.0,1.0,3.0
g__Desulforhopalus,1.0,0.0,1.0,0.0,41.03006412941897
g__Desulfosarcina,1.0,0.0,1.0,1.0,84.2208426506076
g__Desulfovibrio,1.0,0.0,1.0,1.0,79.49232039981794
g__Dialister,1.0,1.0,1.0,1.0,71.21791924260191
g__Dinghuibacter,1.0,0.0,1.0,0.0,4.030769230769231
g__Dokdonella,1.0,0.0,1.0,1.0,171.74786362421372
g__Dorea,1.0,1.0,1.0,0.0,250.0936343819169
g__Draconibacterium,1.0,0.0,1.0,1.0,170.12430113375376
g__Dyadobacter,1.0,0.0,1.0,0.0,71.87670290651796
g__Dyella,1.0,1.0,1.0,1.0,11976.434537543963
g__Dysgonomonas,1.0,0.0,1.0,1.0,12.673272017837235
g__EF100-94H03,1.0,1.0,1.0,1.0,1256.7389541153225
g__EPR3968-O8a-Bc78,0.0,1.0,1.0,0.0,24.459727668845318
g__EV818SWSAP88,1.0,0.0,1.0,1.0,227.02860866184216
g__Edaphobacter,0.0,0.0,0.0,1.0,3.0
g__Edaphobaculum,1.0,0.0,1.0,0.0,123.38143721673214
g__Empedobacter,1.0,0.0,1.0,0.0,33.80020814453613
g__Emticicia,1.0,0.0,1.0,0.0,9.233121597096188
g__Enhydrobacter,1.0,0.0,1.0,1.0,59.64332029704664
g__Enterococcus,0.0,0.0,0.0,1.0,7.0
g__Erysipelatoclostridium,1.0,0.0,1.0,0.0,6.427798105358127
g__Erysipelotrichaceae_UCG-003,1.0,1.0,1.0,1.0,68.69452945027683
g__Erythrobacter,1.0,1.0,1.0,1.0,3885.8972587438243
g__Escherichia-Shigella,1.0,1.0,1.0,0.0,80.98534424088814
g__Eudoraea,1.0,0.0,1.0,1.0,164.27673475825537
g__Euzebya,1.0,0.0,1.0,1.0,24.0
g__FCPU426,0.0,0.0,0.0,1.0,16.548123497173062
g__FGL7S,0.0,0.0,0.0,1.0,4.0
g__FS140-16B-02_marine_group,1.0,1.0,1.0,1.0,4449.846680790384
g__Fabibacter,0.0,1.0,1.0,0.0,13.247320160144646
g__Faecalibacterium,1.0,1.0,1.0,1.0,2029.2083288280676
g__Fermentibacteraceae,1.0,0.0,1.0,0.0,52.752641512013824
g__Ferruginibacter,1.0,0.0,1.0,0.0,178.4192293906399
g__Filomicrobium,1.0,1.0,1.0,1.0,1898.8571314762992
g__Flavicella,0.0,1.0,1.0,0.0,120.18438601305792
g__Flavobacterium,1.0,1.0,1.0,1.0,10916.63789416926
g__Flectobacillus,0.0,0.0,0.0,1.0,60.21393930604894
g__Fluviicola,1.0,1.0,1.0,1.0,276633.0082235301
g__Formosa,1.0,1.0,1.0,1.0,21673.03390958879
g__Fournierella,0.0,0.0,0.0,1.0,4.0
g__Francisella,0.0,1.0,1.0,0.0,104.96596139984273
g__Fuerstia,1.0,1.0,1.0,1.0,49476.416379086506
g__FukuN57,0.0,1.0,1.0,0.0,4.75
g__Fusicatenibacter,1.0,1.0,1.0,1.0,173.6715329475381
g__GIF9,0.0,1.0,1.0,0.0,3.0
g__GKS98_freshwater_group,1.0,1.0,1.0,1.0,274.6152951597803
g__GW2011_GWC1_47_15,0.0,1.0,1.0,0.0,27.087494024306807
g__Ga0077536,1.0,1.0,1.0,1.0,3686.3601559371373
g__Gemmata,1.0,1.0,1.0,0.0,62.86897784373389
g__Gimesia,1.0,1.0,1.0,1.0,11046.887611309205
g__Glaciecola,1.0,1.0,1.0,1.0,57220.83859613965
g__Gramella,0.0,1.0,1.0,0.0,216.0827854757282
g__Granulosicoccus,1.0,0.0,1.0,0.0,66.87234464976476
g__HOC36,1.0,1.0,1.0,1.0,1009.8371421118235
g__Halioglobus,1.0,1.0,1.0,1.0,9404.187406935662
g__Halobacteriovorax,1.0,1.0,1.0,1.0,10259.94332649985
g__Halomonas,1.0,1.0,1.0,1.0,613.6664148703671
g__Hellea,0.0,1.0,1.0,1.0,146.1673421877871
g__Henriciella,0.0,1.0,1.0,1.0,356.68412188149017
g__Hoeflea,0.0,1.0,1.0,0.0,36.73338246555467
g__Holdemanella,1.0,1.0,1.0,0.0,39.93927250910009
g__Hydrogenedensaceae,1.0,1.0,1.0,1.0,2591.289590406555
g__Hydrogenophaga,0.0,1.0,1.0,1.0,7001.738178323514
g__Hydrotalea,1.0,1.0,1.0,1.0,3743.0743238881946
g__Hymenobacter,1.0,0.0,1.0,0.0,7.619190404797601
g__Hyphomonas,1.0,1.0,1.0,1.0,772.351428326098
g__Hypnocyclicus,1.0,1.0,1.0,1.0,529.0147402968407
g__IS-44,1.0,1.0,1.0,1.0,8910.987554615227
g__Iainarchaeales,0.0,1.0,1.0,0.0,3.3128205128205126
g__Idiomarina,1.0,1.0,1.0,1.0,690.6755653112683
g__Ignavibacterium,1.0,0.0,1.0,0.0,12.154436619718311
g__IheB3-7,1.0,0.0,1.0,0.0,44.32044599387256
g__Ilumatobacter,1.0,1.0,1.0,1.0,1589.5848864371276
g__Incertae_Sedis,0.0,1.0,1.0,0.0,24.179517784674147
g__Intestinibacter,1.0,0.0,1.0,0.0,5.224137931034482
g__Izemoplasmatales,0.0,1.0,1.0,0.0,76.0191046875121
g__JG30-KF-CM66,0.0,1.0,1.0,1.0,79.08150955913847
g__JG36-TzT-191,0.0,0.0,0.0,1.0,45.84138062547674
g__JL-ETNP-F27,1.0,1.0,1.0,1.0,1827.0427584882389
g__JS1,1.0,0.0,1.0,1.0,22.530587085930968
g__JTB23,0.0,1.0,1.0,1.0,346.5046616300529
g__Janthinobacterium,1.0,1.0,1.0,1.0,2392.636737183867
g__Jiella,0.0,0.0,0.0,1.0,14.641304347826088
g__KD3-93,1.0,0.0,1.0,0.0,87.10323977352316
g__KF-JG30-B3,1.0,1.0,1.0,1.0,1021.2077783655559
g__KI89A_clade,1.0,1.0,1.0,1.0,8248.509262655627
g__Kapabacteriales,0.0,0.0,0.0,1.0,75.83602219531335
g__Kordiimonas,0.0,1.0,1.0,1.0,3644.6791892038127
g__LCP-89,1.0,0.0,1.0,1.0,161.20147348587807
g__LD1-PA32,0.0,1.0,1.0,0.0,10.218475701134661
g__LD1-PB3,1.0,0.0,1.0,0.0,3.0
g__LS-NOB,1.0,1.0,1.0,1.0,245374.91994944628
g__Labilibacter,1.0,0.0,1.0,0.0,19.803682462202055
g__Lachnoclostridium,0.0,0.0,0.0,1.0,47.062174730239484
g__Lachnospiraceae_NK4A136_group,0.0,0.0,0.0,1.0,64.95199736759832
g__Lacihabitans,1.0,0.0,1.0,1.0,61.27228151996995
g__Lactococcus,1.0,1.0,1.0,1.0,581.9599439822849
g__Lamprocystis,1.0,0.0,1.0,0.0,8.187222880186361
g__Latescibacteraceae,0.0,1.0,1.0,0.0,21.933852015368082
g__Latescibacterota,1.0,0.0,1.0,1.0,625.9865076000156
g__Leeuwenhoekiella,1.0,0.0,1.0,1.0,608.4965255726884
g__Legionella,1.0,1.0,1.0,1.0,1319.8146559888776
g__Lentibacter,1.0,1.0,1.0,1.0,2705.70596469712
g__Lentilitoribacter,1.0,0.0,1.0,0.0,22.242855790427505
g__Lentimicrobiaceae,1.0,0.0,1.0,1.0,188.8007564114532
g__Lentimonas,1.0,1.0,1.0,1.0,4419.934002954198
g__Lentisphaera,1.0,1.0,1.0,0.0,161.32200741867777
g__Leptotrichia,1.0,1.0,1.0,1.0,1665.2505751194149
g__Leucothrix,1.0,0.0,1.0,0.0,35.39008564204508
g__Lewinella,1.0,1.0,1.0,1.0,44677.07382644283
g__Limnobacter,0.0,1.0,1.0,1.0,2501.485199007846
g__Limnohabitans,0.0,1.0,1.0,1.0,320.1507099771172
g__Limosilactobacillus,1.0,1.0,1.0,0.0,6.9910648468738135
g__Lineage_IIb,0.0,1.0,1.0,1.0,12.212358862174662
g__Lineage_IIc,0.0,1.0,1.0,0.0,6.592892644135189
g__Lineage_IV,0.0,1.0,1.0,0.0,66.10525405065283
g__Litoricola,0.0,1.0,1.0,1.0,1368.6705309231502
g__Luminiphilus,1.0,1.0,1.0,1.0,8664.05422342061
g__Luteibacter,1.0,1.0,1.0,1.0,270.93260174544196
g__Luteibaculum,1.0,1.0,1.0,1.0,1808.3618544225328
g__Luteimonas,1.0,1.0,1.0,0.0,26.380281690140844
g__Luteivirga,1.0,0.0,1.0,0.0,2.612068965517241
g__Lutibacter,1.0,0.0,1.0,0.0,266.1324969428343
g__Lutimonas,1.0,0.0,1.0,1.0,355.8609424743626
g__MAT-CR-H4-C10,0.0,0.0,0.0,1.0,4.543103448275862
g__MB11C04_marine_group,0.0,1.0,1.0,1.0,466.38698115741585
g__MD3-55,1.0,1.0,1.0,1.0,2069.669847319256
g__ML602J-51,1.0,1.0,1.0,1.0,136.33291381084368
g__MND1,0.0,1.0,1.0,0.0,67.52049526574939
g__MSB-1D1,1.0,0.0,1.0,0.0,54.13098265390056
g__MSBL3,1.0,1.0,1.0,0.0,123.44262595604715
g__MSBL7,0.0,1.0,1.0,0.0,3.370786516853933
g__MSBL8,1.0,0.0,1.0,0.0,27.95475595589855
g__MWH-Ta3,1.0,0.0,1.0,0.0,4.5
g__Macellibacteroides,1.0,0.0,1.0,0.0,132.43462109538876
g__Magnetospira,1.0,1.0,1.0,1.0,30761.421570170347
g__Margulisbacteria,0.0,1.0,1.0,1.0,407.3309559713743
g__Maribacter,1.0,0.0,1.0,0.0,136.65239043329063
g__Marinagarivorans,0.0,1.0,1.0,0.0,56.79984212192346
g__Marine_Group_II,1.0,1.0,1.0,1.0,86367.90103011242
g__Marine_Group_III,0.0,1.0,1.0,0.0,47.8687117138206
g__Marinicella,1.0,0.0,1.0,0.0,50.57670836428699
g__Marinifilum,1.0,1.0,1.0,1.0,2617.3811433879428
g__Marinimicrobia_(SAR406_clade),1.0,1.0,1.0,1.0,52465.5423214887
g__Marinobacter,1.0,1.0,1.0,1.0,1624.709237686317
g__Marinomonas,1.0,0.0,1.0,0.0,72.33722287179478
g__Marinoscillum,1.0,1.0,1.0,1.0,37271.29445416578
g__Mariprofundus,1.0,1.0,1.0,1.0,5839.238297674857
g__Maritimimonas,1.0,0.0,1.0,0.0,46.06153304135401
g__Marixanthomonas,1.0,0.0,1.0,0.0,8.612658227848101
g__Massilia,1.0,1.0,1.0,1.0,461.89567553942015
g__Megamonas,1.0,1.0,1.0,1.0,217.1790920179112
g__Methylobacter,0.0,1.0,1.0,1.0,33.862809200043245
g__Methylobacterium-Methylorubrum,1.0,1.0,1.0,0.0,78.22301800115511
g__Methylotenera,1.0,1.0,1.0,0.0,296.2456709583904
g__Micavibrionales,0.0,1.0,1.0,0.0,3.1888111888111887
g__Microbacterium,0.0,0.0,0.0,1.0,3.0
g__Milano-WF1B-03,0.0,1.0,1.0,1.0,1271.5018799598536
g__Mitochondria,1.0,1.0,1.0,1.0,45857.12366877911
g__Moraxellaceae,0.0,1.0,1.0,1.0,66.96612805668366
g__Moritella,1.0,1.0,1.0,0.0,946.076904748317
g__Muribaculaceae,1.0,0.0,1.0,1.0,23.54294451814685
g__Muricauda,1.0,1.0,1.0,1.0,58.87074273521046
g__Mycobacterium,1.0,0.0,1.0,0.0,119.73644826985111
g__NB1-j,1.0,1.0,1.0,1.0,14431.218487812348
g__NK4A214_group,1.0,0.0,1.0,0.0,38.77208250549217
g__NKB15,0.0,0.0,0.0,1.0,17.623253523727456
g__NRL2,0.0,1.0,1.0,0.0,56.69497169497169
g__NS10_marine_group,1.0,1.0,1.0,1.0,12948.477521494178
g__NS11-12_marine_group,1.0,1.0,1.0,1.0,111970.39544982467
g__NS2b_marine_group,1.0,1.0,1.0,1.0,28231.566379502594
g__NS3a_marine_group,1.0,1.0,1.0,1.0,363788.0497447431
g__NS4_marine_group,1.0,1.0,1.0,1.0,108451.87910220046
g__NS5_marine_group,1.0,1.0,1.0,1.0,232917.01086549822
g__NS7_marine_group,1.0,1.0,1.0,1.0,20423.109236269313
g__NS9_marine_group,1.0,1.0,1.0,1.0,345167.0437741838
g__Nannocystaceae,1.0,0.0,1.0,0.0,33.513286140449125
g__Nevskia,1.0,1.0,1.0,1.0,4199.060570216508
g__Nisaea,0.0,1.0,1.0,1.0,26.7685626653061
g__Nitrosomonas,1.0,1.0,1.0,1.0,10675.078979329006
g__Nitrospina,0.0,1.0,1.0,1.0,17754.205767422984
g__Nocardioides,1.0,1.0,1.0,1.0,518.7543002654572
g__Novosphingobium,1.0,1.0,1.0,0.0,159.85957296757297
g__OCS116_clade,0.0,1.0,1.0,1.0,20155.0459769438
g__OLB12,1.0,0.0,1.0,0.0,10.803140683179537
g__OM182_clade,1.0,1.0,1.0,1.0,46401.09963362512
g__OM190,1.0,1.0,1.0,1.0,363966.8329581063
g__OM27_clade,1.0,1.0,1.0,1.0,30020.44255119898
g__OM43_clade,1.0,1.0,1.0,1.0,120274.91955038284
g__OM60(NOR5)_clade,1.0,1.0,1.0,1.0,9400.764969489983
g__OM75_clade,0.0,1.0,1.0,1.0,10204.266945649973
g__Obscuribacteraceae,1.0,1.0,1.0,1.0,144.00558135622097
g__Oceanococcus,1.0,1.0,1.0,1.0,521.0689527787479
g__Octadecabacter,1.0,1.0,1.0,1.0,5513.191354728039
g__Odoribacter,1.0,1.0,1.0,1.0,114.10666087311229
g__Oleiphilus,1.0,1.0,1.0,1.0,763.8012636632217
g__Oleispira,0.0,1.0,1.0,0.0,615.6164357346593
g__Olleya,0.0,1.0,1.0,0.0,154.5001277546288
g__Omnitrophales,0.0,1.0,1.0,0.0,42.71422244394486
g__Oscillibacter,0.0,0.0,0.0,1.0,58.93587208756225
g__P.palmC41,0.0,0.0,0.0,1.0,70.07310786734766
g__P3OB-42,1.0,1.0,1.0,1.0,1477.3732867556644
g__PAUC26f,0.0,0.0,0.0,1.0,2.0
g__PAUC34f,1.0,1.0,1.0,1.0,3161.6943659823482
g__PB19,1.0,1.0,1.0,1.0,3355.0467701947377
g__PHOS-HE36,1.0,0.0,1.0,0.0,34.90210133341153
g__PRD18C08,0.0,1.0,1.0,0.0,55.04016782549102
g__PS1_clade,1.0,0.0,1.0,0.0,4.85
g__Pajaroellobacter,1.0,0.0,1.0,0.0,16.308433296982916
g__Paludibacter,1.0,1.0,1.0,1.0,436.6992499511903
g__Pantoea,0.0,0.0,0.0,1.0,387.07157057654075
g__Parabacteroides,1.0,1.0,1.0,1.0,570.4051902080839
g__Paracoccus,1.0,0.0,1.0,1.0,51.82405023962116
g__Parasutterella,0.0,1.0,1.0,1.0,43.42969826741622
g__Parvibaculum,1.0,0.0,1.0,0.0,14.408450704225352
g__PeM15,1.0,1.0,1.0,1.0,1977.298065306192
g__Pedobacter,1.0,1.0,1.0,1.0,1373.974668530705
g__Pedosphaeraceae,1.0,0.0,1.0,0.0,10.226821862348178
g__Pelagicoccus,1.0,1.0,1.0,1.0,341.9027584039935
g__Pelosinus,1.0,1.0,1.0,0.0,228.68157911556995
g__Peptostreptococcus,0.0,1.0,1.0,0.0,3.1888111888111887
g__Peredibacter,1.0,1.0,1.0,1.0,2169.1760286623075
g__Persicirhabdus,1.0,1.0,1.0,1.0,26956.558224310866
g__Persicitalea,1.0,1.0,1.0,0.0,289.52478319508367
g__Phaeodactylibacter,1.0,0.0,1.0,0.0,6.918103448275862
g__Phascolarctobacterium,1.0,1.0,1.0,1.0,259.16100502426406
g__Photobacterium,1.0,0.0,1.0,0.0,58.47573845596003
g__Pir4_lineage,1.0,1.0,1.0,1.0,179.74961289703242
g__Pla3_lineage,1.0,0.0,1.0,1.0,56.651281782482855
g__Pla4_lineage,1.0,0.0,1.0,0.0,46.37490887585657
g__Planctomicrobium,1.0,1.0,1.0,1.0,28716.245030248712
g__Planctopirus,1.0,0.0,1.0,0.0,57.86238191551696
g__Planktomarina,1.0,1.0,1.0,1.0,295755.0806404699
g__Planktotalea,1.0,1.0,1.0,1.0,26476.245992547483
g__Pleurocapsa_PCC-7319,1.0,0.0,1.0,0.0,21.74349135805602
g__Polaribacter,1.0,1.0,1.0,1.0,265503.31707419653
g__Polaromonas,1.0,1.0,1.0,1.0,3593.1097046519726
g__Polycyclovorans,1.0,1.0,1.0,1.0,7074.3603013361935
g__Polynucleobacter,1.0,1.0,1.0,1.0,9233.925651234971
g__Ponticaulis,0.0,1.0,1.0,0.0,112.64731560779775
g__Pontivivens,1.0,0.0,1.0,0.0,57.24948150037408
g__Portibacter,1.0,1.0,1.0,0.0,16.05104365951966
g__Porticoccus,1.0,1.0,1.0,1.0,19947.380028229774
g__Prevotella,0.0,1.0,1.0,1.0,124.05286082972401
g__Prevotella_7,1.0,0.0,1.0,1.0,111.298440205021
g__Prevotella_9,1.0,1.0,1.0,1.0,9196.279836972664
g__Propionigenium,1.0,0.0,1.0,0.0,40.82882077988972
g__Proteocatella,1.0,0.0,1.0,1.0,6.687179487179487
g__Pseudarcicella,1.0,1.0,1.0,1.0,747.378368393604
g__Pseudarcobacter,1.0,1.0,1.0,0.0,25.38719071219995
g__Pseudoalteromonas,1.0,1.0,1.0,1.0,6858.231083225355
g__Pseudobacteriovorax,1.0,0.0,1.0,0.0,8.922299922299922
g__Pseudofulvibacter,1.0,1.0,1.0,1.0,1027.4167305491374
g__Pseudohongiella,1.0,1.0,1.0,1.0,136230.66875487435
g__Pseudolabrys,1.0,0.0,1.0,0.0,18.68443791583859
g__Pseudomonas,1.0,1.0,1.0,1.0,3516.226862810592
g__Pseudonocardia,1.0,0.0,1.0,0.0,22.733005104849607
g__Psychrilyobacter,1.0,1.0,1.0,1.0,2673.6994463606457
g__Psychrobacter,1.0,1.0,1.0,1.0,525.091062761825
g__Psychromonas,1.0,1.0,1.0,1.0,1830.8322656668079
g__Psychrosphaera,0.0,1.0,1.0,0.0,28.762282004177465
g__R76-B128,1.0,1.0,1.0,1.0,377.71225155438185
g__R7C24,1.0,0.0,1.0,1.0,213.65857429420473
g__RF39,1.0,1.0,1.0,1.0,22.06566885269022
