Genus,L60,S60,W60,feature_frequency
g__Arenibacter,0.0,1.0,0.0,30.0
g__Arenicella,1.0,1.0,1.0,2233.0
g__Ascidiaceihabitans,1.0,1.0,1.0,38976.0
g__Aurantimonas,1.0,1.0,0.0,107.0
g__Aurantivirga,0.0,1.0,1.0,131.0
g__Aureispira,1.0,1.0,1.0,3149.0
g__B2M28,1.0,0.0,0.0,200.0
g__BD1-7_clade,1.0,1.0,1.0,2966.0
g__BD2-11_terrestrial_group,1.0,1.0,1.0,7173.0
g__BD2-3,0.0,0.0,1.0,11.0
g__BD7-11,1.0,1.0,1.0,4279.0
g__BD7-8,1.0,1.0,1.0,2013.0
g__BMS9AB35,0.0,1.0,0.0,5.0
g__Babeliales,1.0,1.0,1.0,51.0
g__Bacteroides,1.0,1.0,1.0,8034.0
g__Bacteroidetes_BD2-2,1.0,1.0,1.0,103.0
g__Bacteroidetes_VC2.1_Bac22,1.0,1.0,1.0,885.0
g__Balneola,1.0,1.0,1.0,515.0
g__Barnesiella,0.0,0.0,1.0,75.0
g__Bathyarchaeia,1.0,0.0,0.0,8.0
g__Berkelbacteria,1.0,0.0,0.0,6.0
g__Blastopirellula,1.0,1.0,1.0,31539.0
g__Blautia,1.0,1.0,0.0,250.0
g__Blfdi19,1.0,1.0,1.0,154.0
g__Bradymonadales,1.0,1.0,1.0,932.0
g__Bradyrhizobium,1.0,1.0,0.0,190.0
g__Brumimicrobium,0.0,1.0,1.0,156.0
g__Bryobacter,0.0,0.0,1.0,44.0
g__Burkholderia-Caballeronia-Paraburkholderia,1.0,0.0,1.0,31.0
g__Butyrivibrio,1.0,0.0,0.0,2.0
g__Bythopirellula,1.0,0.0,0.0,7.0
g__CG1-02-57-44,0.0,1.0,0.0,3.0
g__CH2b56,1.0,0.0,0.0,17.0
g__CHAB-XI-27,1.0,1.0,1.0,143.0
g__CL500-3,1.0,1.0,1.0,10243.0
g__Caenarcaniphilales,1.0,1.0,1.0,63.0
g__Caldicoprobacter,1.0,0.0,0.0,2.0
g__Calditrichaceae,1.0,0.0,1.0,32.0
g__Calorithrix,1.0,0.0,0.0,2.0
g__Candidatus_Actinomarina,1.0,1.0,1.0,22266.0
g__Candidatus_Altiarchaeum,1.0,0.0,1.0,9.0
g__Candidatus_Aquiluna,0.0,1.0,1.0,3382.0
g__Candidatus_Berkiella,1.0,1.0,1.0,355.0
g__Candidatus_Endoecteinascidia,0.0,1.0,1.0,138.0
g__Candidatus_Hepatoplasma,0.0,1.0,1.0,6.0
g__Candidatus_Kerfeldbacteria,1.0,0.0,0.0,2.0
g__Candidatus_Latescibacter,1.0,1.0,0.0,13.0
g__Candidatus_Megaira,1.0,1.0,1.0,909.0
g__Candidatus_Methylopumilus,0.0,1.0,0.0,849.0
g__Candidatus_Nealsonbacteria,1.0,0.0,0.0,3.0
g__Candidatus_Nitrosopelagicus,0.0,1.0,1.0,540.0
g__Candidatus_Nitrosopumilus,1.0,1.0,1.0,241424.0
g__Candidatus_Omnitrophus,1.0,1.0,1.0,559.0
g__Candidatus_Puniceispirillum,1.0,1.0,1.0,8479.0
g__Candidatus_Tenderia,0.0,1.0,1.0,150.0
g__Candidatus_Woesebacteria,0.0,0.0,1.0,7.0
g__Catenibacterium,0.0,0.0,1.0,4.0
g__Cavicella,0.0,0.0,1.0,52.0
g__Cellvibrio,0.0,1.0,1.0,129.0
g__Cerasicoccus,0.0,1.0,0.0,31.0
g__Chloroplast,1.0,1.0,1.0,721306.0
g__Christensenellaceae_R-7_group,1.0,1.0,1.0,187.0
g__Chryseobacterium,1.0,0.0,0.0,1362.0
g__Chryseoglobus,1.0,0.0,0.0,3.0
g__Clade_II,1.0,1.0,1.0,67307.0
g__Clade_III,0.0,1.0,1.0,4895.0
g__Clade_IV,0.0,1.0,1.0,1990.0
g__Clade_Ia,1.0,1.0,1.0,221714.0
g__Clade_Ib,0.0,1.0,1.0,620.0
g__Clavibacter,1.0,0.0,0.0,107.0
g__Cloacibacterium,0.0,0.0,1.0,32.0
g__Clostridia_vadinBB60_group,1.0,0.0,0.0,16.0
g__Clostridium_sensu_stricto_1,0.0,0.0,1.0,15.0
g__Clostridium_sensu_stricto_13,0.0,1.0,0.0,138.0
g__Cm1-21,1.0,1.0,1.0,4714.0
g__Cocleimonas,1.0,0.0,0.0,15.0
g__Collimonas,1.0,1.0,1.0,406.0
g__Collinsella,1.0,0.0,0.0,3.0
g__Colwellia,1.0,1.0,1.0,101004.0
g__Coxiella,1.0,1.0,1.0,1655.0
g__Croceibacter,1.0,1.0,1.0,359.0
g__Croceicoccus,1.0,1.0,1.0,509.0
g__Crocinitomix,1.0,1.0,1.0,32718.0
g__Curvibacter,0.0,1.0,0.0,2435.0
g__Cyclobacterium,1.0,0.0,0.0,17.0
g__Cycloclasticus,1.0,1.0,0.0,88.0
g__Cytophaga,0.0,1.0,0.0,25.0
g__DEV007,1.0,1.0,1.0,9354.0
g__Dadabacteriales,1.0,1.0,1.0,3990.0
g__Dechloromonas,1.0,0.0,0.0,948.0
g__Deep_Sea_Euryarchaeotic_Group(DSEG),0.0,1.0,0.0,2.0
g__Desulfatiglans,1.0,1.0,1.0,148.0
g__Desulfobacterium,0.0,1.0,0.0,6.0
g__Desulfobacula,1.0,1.0,0.0,22.0
g__Desulfobulbus,1.0,0.0,0.0,21.0
g__Desulfocapsa,0.0,0.0,1.0,3.0
g__Desulfoconvexum,1.0,0.0,0.0,17.0
g__Desulfofaba,1.0,0.0,1.0,11.0
g__Desulfofrigus,1.0,1.0,1.0,482.0
g__Desulfopila,1.0,0.0,0.0,5.0
g__Desulforhopalus,1.0,0.0,1.0,34.0
g__Desulfosarcina,1.0,0.0,0.0,66.0
g__Desulfotalea,1.0,1.0,1.0,128.0
g__Desulfovibrio,1.0,1.0,0.0,53.0
g__Devosia,1.0,0.0,0.0,33.0
g__Diplosphaera,1.0,1.0,1.0,44.0
g__Dokdonella,0.0,1.0,0.0,97.0
g__Draconibacterium,1.0,1.0,1.0,137.0
g__Dyella,1.0,1.0,1.0,5737.0
g__EC3,1.0,0.0,1.0,7.0
g__EF100-94H03,1.0,1.0,1.0,920.0
g__EPR3968-O8a-Bc78,0.0,1.0,0.0,16.0
g__EV818SWSAP88,1.0,1.0,1.0,175.0
g__Eel-36e1D6,1.0,0.0,1.0,9.0
g__Eionea,0.0,1.0,0.0,10.0
g__Endomicrobium,1.0,1.0,0.0,6.0
g__Endozoicomonas,0.0,1.0,0.0,2.0
g__Enterococcus,0.0,0.0,1.0,7.0
g__Erysipelatoclostridium,1.0,0.0,0.0,5.0
g__Erysipelotrichaceae_UCG-003,1.0,0.0,0.0,45.0
g__Erythrobacter,1.0,1.0,1.0,2619.0
g__Escherichia-Shigella,0.0,1.0,0.0,53.0
g__Eudoraea,1.0,0.0,1.0,132.0
g__FCPU426,0.0,1.0,0.0,13.0
g__FS140-16B-02_marine_group,1.0,1.0,1.0,2762.0
g__FTLpost3,0.0,0.0,1.0,29.0
g__Faecalibacterium,0.0,1.0,1.0,1393.0
g__Fermentibacteraceae,1.0,1.0,1.0,41.0
g__Filomicrobium,1.0,1.0,1.0,1237.0
g__Flavicella,0.0,0.0,1.0,79.0
g__Flavobacterium,1.0,1.0,1.0,7018.0
g__Flectobacillus,1.0,0.0,0.0,40.0
g__Fluviicola,1.0,1.0,1.0,155740.0
g__Formosa,1.0,1.0,1.0,13145.0
g__Francisella,1.0,1.0,1.0,73.0
g__Frisingicoccus,0.0,1.0,0.0,2.0
g__Fuerstia,1.0,1.0,1.0,33234.0
g__Fusibacter,1.0,1.0,1.0,79.0
g__Fusicatenibacter,0.0,1.0,0.0,123.0
g__Fusobacterium,1.0,0.0,0.0,39.0
g__GW2011_GWC1_47_15,0.0,1.0,1.0,19.0
g__Ga0074140,1.0,0.0,0.0,2.0
g__Ga0077536,1.0,1.0,1.0,2463.0
g__Gastranaerophilales,0.0,1.0,0.0,8.0
g__Gemmatimonas,1.0,0.0,0.0,8.0
g__Geopsychrobacter,1.0,1.0,1.0,291.0
g__Gimesia,1.0,1.0,1.0,6999.0
g__Glaciecola,1.0,1.0,1.0,32325.0
g__Gramella,1.0,1.0,1.0,154.0
g__HOC36,1.0,1.0,1.0,679.0
g__HTCC5015,1.0,1.0,1.0,45.0
g__Halarcobacter,1.0,1.0,0.0,7.0
g__Halioglobus,1.0,1.0,1.0,5950.0
g__Halobacteriovorax,1.0,1.0,1.0,6464.0
g__Halomonas,1.0,1.0,1.0,407.0
g__Hellea,1.0,1.0,0.0,101.0
g__Henriciella,0.0,1.0,1.0,244.0
g__Hoeflea,0.0,1.0,0.0,29.0
g__Hydrogenedensaceae,1.0,1.0,1.0,1759.0
g__Hydrogenophaga,0.0,1.0,1.0,4512.0
g__Hydrotalea,0.0,1.0,0.0,1843.0
g__Hyphomonas,1.0,1.0,1.0,527.0
g__IS-44,0.0,1.0,1.0,6073.0
g__Idiomarina,1.0,1.0,0.0,373.0
g__Ignavibacterium,1.0,0.0,0.0,10.0
g__IheB3-7,1.0,1.0,1.0,34.0
g__Ilumatobacter,1.0,1.0,1.0,1007.0
g__Izemoplasmataceae,1.0,1.0,1.0,99.0
g__Izemoplasmatales,1.0,1.0,1.0,47.0
g__Izimaplasma,1.0,1.0,1.0,265.0
g__JG30-KF-CM66,0.0,1.0,1.0,54.0
g__JL-ETNP-F27,1.0,1.0,1.0,1101.0
g__JTB215,1.0,1.0,1.0,79.0
g__JTB23,1.0,1.0,1.0,248.0
g__Joostella,0.0,1.0,0.0,11.0
g__KD3-93,0.0,1.0,0.0,61.0
g__KF-JG30-B3,1.0,1.0,1.0,680.0
g__KI89A_clade,0.0,1.0,1.0,5438.0
g__Kapabacteriales,1.0,1.0,1.0,53.0
g__Kordiimonas,1.0,1.0,1.0,2284.0
g__LCP-89,1.0,1.0,1.0,113.0
g__LD1-PA32,1.0,1.0,0.0,7.0
g__LK-44f,1.0,0.0,1.0,43.0
g__LS-NOB,1.0,1.0,1.0,148682.0
g__Lachnospiraceae_NK4A136_group,0.0,1.0,0.0,50.0
g__Lacibacter,0.0,1.0,0.0,13.0
g__Lactococcus,1.0,0.0,0.0,421.0
g__Latescibacteraceae,0.0,1.0,0.0,15.0
g__Latescibacterota,1.0,1.0,1.0,500.0
g__Leeuwenhoekiella,0.0,1.0,1.0,393.0
g__Legionella,1.0,1.0,1.0,836.0
g__Lenti-02,0.0,1.0,1.0,7.0
g__Lentibacter,1.0,1.0,1.0,1825.0
g__Lentimicrobiaceae,1.0,1.0,1.0,142.0
g__Lentimicrobium,0.0,0.0,1.0,5.0
g__Lentimonas,1.0,1.0,1.0,2606.0
g__Lentisphaera,1.0,1.0,1.0,104.0
g__Leptotrichia,1.0,1.0,1.0,1111.0
g__Leucothrix,1.0,0.0,1.0,27.0
g__Lewinella,1.0,1.0,1.0,29531.0
g__Lineage_IIb,0.0,1.0,0.0,8.0
g__Litoricola,1.0,1.0,1.0,877.0
g__Luminiphilus,1.0,1.0,1.0,5481.0
g__Luteibaculum,1.0,1.0,1.0,1248.0
g__Lutibacter,1.0,0.0,0.0,213.0
g__Lutimonas,1.0,0.0,0.0,282.0
g__MAT-CR-H4-C10,1.0,0.0,0.0,4.0
g__MB11C04_marine_group,0.0,1.0,1.0,332.0
g__MBAE14,1.0,0.0,0.0,19.0
g__MD3-55,1.0,1.0,1.0,1233.0
g__ML602J-51,0.0,1.0,1.0,101.0
g__MSB-1D1,1.0,0.0,1.0,41.0
g__MSBL3,1.0,1.0,1.0,85.0
g__MSBL8,1.0,0.0,0.0,22.0
g__MVP-15,0.0,0.0,1.0,2.0
g__Magnetococcus,0.0,1.0,0.0,4.0
g__Magnetospira,1.0,1.0,1.0,19749.0
g__Magnetovibrio,1.0,1.0,1.0,138.0
g__Margulisbacteria,1.0,1.0,1.0,269.0
g__Maribacter,1.0,0.0,0.0,105.0
g__Maribius,0.0,1.0,0.0,20.0
g__Marinagarivorans,1.0,1.0,0.0,36.0
g__Marine_Group_II,1.0,1.0,1.0,50782.0
g__Marine_Group_III,0.0,1.0,1.0,34.0
g__Marinicella,1.0,0.0,1.0,40.0
g__Marinifilum,1.0,1.0,1.0,1672.0
g__Marinimicrobia_(SAR406_clade),1.0,1.0,1.0,34150.0
g__Marinobacter,1.0,1.0,1.0,1147.0
g__Marinobacterium,1.0,1.0,0.0,29.0
g__Marinomonas,0.0,1.0,0.0,43.0
g__Marinoscillum,1.0,1.0,1.0,22341.0
g__Mariprofundus,1.0,1.0,1.0,3779.0
g__Martelella,1.0,1.0,1.0,171.0
g__Massilia,1.0,0.0,0.0,314.0
g__Megamonas,0.0,0.0,1.0,154.0
g__Milano-WF1B-03,1.0,1.0,1.0,845.0
g__Mitochondria,1.0,1.0,1.0,28359.0
g__Moritella,1.0,1.0,1.0,710.0
g__Muricauda,1.0,1.0,0.0,40.0
g__Mycobacterium,0.0,1.0,0.0,78.0
g__NB1-j,1.0,1.0,1.0,8948.0
g__NKB15,0.0,1.0,1.0,14.0
g__NS10_marine_group,1.0,1.0,1.0,7286.0
g__NS11-12_marine_group,1.0,1.0,1.0,61287.0
g__NS2b_marine_group,1.0,1.0,1.0,17262.0
g__NS3a_marine_group,1.0,1.0,1.0,206260.0
g__NS4_marine_group,1.0,1.0,1.0,67205.0
g__NS5_marine_group,1.0,1.0,1.0,150752.0
g__NS7_marine_group,1.0,1.0,1.0,12303.0
g__NS9_marine_group,1.0,1.0,1.0,204767.0
g__Nannocystaceae,1.0,0.0,0.0,26.0
g__Nevskia,1.0,1.0,1.0,1994.0
g__Nitrosomonas,1.0,1.0,1.0,7140.0
g__Nitrospina,1.0,1.0,1.0,11926.0
g__Nocardioides,1.0,1.0,1.0,370.0
g__Nonlabens,1.0,0.0,1.0,12.0
g__Novosphingobium,0.0,1.0,0.0,100.0
g__OCS116_clade,1.0,1.0,1.0,13343.0
g__OLB12,0.0,1.0,0.0,7.0
g__OM182_clade,1.0,1.0,1.0,28073.0
g__OM190,1.0,1.0,1.0,234508.0
g__OM27_clade,1.0,1.0,1.0,20405.0
g__OM43_clade,1.0,1.0,1.0,76604.0
g__OM60(NOR5)_clade,1.0,1.0,1.0,6057.0
g__OM75_clade,1.0,1.0,1.0,6927.0
g__Obscuribacteraceae,0.0,1.0,1.0,101.0
g__Octadecabacter,0.0,1.0,1.0,3888.0
g__Odoribacter,0.0,0.0,1.0,75.0
g__Oleiphilus,1.0,0.0,0.0,503.0
g__Oleispira,1.0,1.0,0.0,359.0
g__Olleya,1.0,0.0,0.0,120.0
g__Omnitrophales,1.0,1.0,1.0,29.0
g__P.palmC41,1.0,1.0,1.0,53.0
g__P13-46,1.0,1.0,1.0,16.0
g__P3OB-42,1.0,1.0,1.0,954.0
g__PAUC34f,1.0,1.0,1.0,2010.0
g__PB19,1.0,1.0,1.0,2184.0
g__PHOS-HE36,1.0,0.0,1.0,28.0
g__PRD18C08,1.0,1.0,1.0,39.0
g__Paludibacter,1.0,1.0,1.0,315.0
g__Pantoea,0.0,0.0,1.0,383.0
g__Parabacteroides,1.0,1.0,0.0,392.0
g__Paracoccus,1.0,1.0,0.0,32.0
g__Paraglaciecola,1.0,1.0,1.0,187.0
g__PeM15,1.0,1.0,1.0,1405.0
g__Pedobacter,1.0,1.0,0.0,922.0
g__Pelagicoccus,1.0,1.0,1.0,229.0
g__Pelosinus,0.0,1.0,1.0,155.0
g__Peredibacter,1.0,1.0,1.0,1340.0
g__Persicirhabdus,1.0,1.0,1.0,16109.0
g__Persicitalea,0.0,1.0,0.0,187.0
g__Phascolarctobacterium,0.0,0.0,1.0,197.0
g__Phenylobacterium,0.0,1.0,0.0,142.0
g__Photobacterium,1.0,0.0,1.0,44.0
g__Pir4_lineage,1.0,1.0,1.0,143.0
g__Piscirickettsia,0.0,1.0,0.0,2.0
g__Pla3_lineage,1.0,1.0,0.0,42.0
g__Pla4_lineage,1.0,0.0,0.0,37.0
g__Planctomicrobium,1.0,1.0,1.0,17786.0
g__Planctopirus,0.0,1.0,0.0,36.0
g__Planktomarina,1.0,1.0,1.0,176687.0
g__Planktotalea,1.0,1.0,1.0,16209.0
g__Polaribacter,1.0,1.0,1.0,158690.0
g__Polaromonas,0.0,1.0,1.0,2372.0
g__Polycyclovorans,1.0,1.0,1.0,4574.0
g__Polynucleobacter,0.0,1.0,1.0,6050.0
g__Pontivivens,1.0,1.0,1.0,42.0
g__Portibacter,0.0,0.0,1.0,12.0
g__Porticoccus,1.0,1.0,1.0,13070.0
g__Prevotella_7,0.0,1.0,0.0,72.0
g__Prevotella_9,1.0,1.0,1.0,5774.0
g__Profundimonas,1.0,1.0,1.0,61.0
g__Pseudoalteromonas,1.0,1.0,1.0,3721.0
g__Pseudobacteriovorax,0.0,1.0,1.0,7.0
g__Pseudofulvibacter,1.0,1.0,1.0,710.0
g__Pseudohongiella,1.0,1.0,1.0,77835.0
g__Pseudomonas,1.0,1.0,0.0,2241.0
g__Pseudooceanicola,0.0,1.0,1.0,65.0
g__Psychrilyobacter,1.0,1.0,1.0,1821.0
g__Psychrobacter,1.0,1.0,1.0,355.0
g__Psychrobium,0.0,1.0,1.0,18.0
g__Psychromonas,1.0,1.0,1.0,1258.0
g__R76-B128,1.0,1.0,1.0,264.0
g__RBG-16-49-21,0.0,0.0,1.0,7.0
g__RS62_marine_group,1.0,1.0,1.0,36564.0
g__Reyranella,0.0,1.0,0.0,391.0
g__Rheinheimera,0.0,1.0,0.0,9.0
g__Rhodanobacter,0.0,1.0,0.0,5.0
g__Rhodococcus,1.0,1.0,1.0,170.0
g__Rhodoferax,1.0,1.0,1.0,7230.0
g__Rhodopirellula,1.0,1.0,1.0,723.0
g__Rickettsiella,0.0,1.0,0.0,114.0
g__Rivicola,0.0,1.0,1.0,569.0
g__Robiginitalea,1.0,1.0,1.0,49.0
g__Romboutsia,0.0,1.0,0.0,38.0
g__Roseburia,1.0,0.0,0.0,88.0
g__Roseibacillus,1.0,1.0,1.0,3583.0
g__Roseimarinus,1.0,1.0,1.0,24.0
g__Roseivirga,0.0,1.0,0.0,80.0
g__Roseobacter_clade_NAC11-7_lineage,1.0,1.0,1.0,15705.0
g__Roseovarius,1.0,0.0,0.0,20.0
g__Rubidimonas,1.0,1.0,1.0,249.0
g__Rubinisphaera,1.0,1.0,1.0,668.0
g__Rubripirellula,1.0,1.0,1.0,8314.0
g__Rubritalea,1.0,1.0,1.0,22.0
g__Rubrivirga,0.0,1.0,0.0,70.0
g__Run-SP154,1.0,0.0,0.0,4.0
g__S25-593,0.0,1.0,1.0,250.0
g__SAR116_clade,1.0,1.0,1.0,31892.0
g__SAR202_clade,1.0,1.0,1.0,3059.0
g__SAR324_clade(Marine_group_B),1.0,1.0,1.0,33210.0
g__SAR86_clade,1.0,1.0,1.0,48410.0
g__SAR92_clade,1.0,1.0,1.0,35011.0
g__SB-5,1.0,0.0,1.0,12.0
g__SCGC_AAA011-D5,1.0,1.0,1.0,301.0
g__SCGC_AAA164-E04,1.0,1.0,1.0,3248.0
g__SEEP-SRB1,1.0,0.0,0.0,244.0
g__SG8-4,1.0,1.0,1.0,112.0
g__SM1A02,1.0,1.0,0.0,47.0
g__SM23-30,0.0,1.0,0.0,4.0
g__SS1-B-07-19,1.0,1.0,1.0,4333.0
g__ST-12K33,1.0,1.0,1.0,41.0
g__SUP05_cluster,1.0,1.0,1.0,312191.0
g__Saccharimonadales,1.0,1.0,1.0,388.0
g__Saccharospirillaceae,1.0,1.0,1.0,537.0
g__Salinimicrobium,1.0,0.0,0.0,5.0
g__Salinirepens,1.0,0.0,1.0,427.0
g__Salinisphaera,1.0,1.0,1.0,8977.0
g__Sanguibacteroides,0.0,1.0,0.0,2.0
g__Sedimenticola,1.0,0.0,0.0,2.0
g__Sediminibacterium,1.0,1.0,1.0,2231.0
g__Sediminispirochaeta,0.0,1.0,1.0,17.0
g__Serratia,0.0,1.0,1.0,11.0
g__Shewanella,1.0,1.0,0.0,556.0
g__Sphaerochaeta,1.0,1.0,1.0,265.0
g__Sphingomonas,1.0,1.0,1.0,1085.0
g__Sphingopyxis,1.0,1.0,1.0,1343.0
g__Sphingorhabdus,0.0,1.0,1.0,153.0
g__Spirochaeta_2,1.0,1.0,1.0,124.0
g__Spongiibacter,1.0,1.0,0.0,336.0
g__Staphylococcus,0.0,1.0,0.0,18.0
g__Stappiaceae,0.0,1.0,0.0,49.0
g__Stenotrophomonas,1.0,1.0,1.0,1860.0
g__Streptococcus,0.0,0.0,1.0,67.0
g__Subdoligranulum,0.0,1.0,0.0,372.0
g__Subgroup_17,1.0,0.0,0.0,19.0
g__Subgroup_22,1.0,0.0,0.0,81.0
g__Subgroup_23,1.0,0.0,1.0,189.0
g__Subgroup_26,1.0,0.0,0.0,14.0
g__Sulfitobacter,1.0,1.0,1.0,148323.0
g__Sulfurimonas,1.0,1.0,1.0,121.0
g__Sulfurospirillum,1.0,0.0,0.0,2.0
g__Sulfurovum,1.0,0.0,0.0,21.0
g__Sva0485,1.0,1.0,1.0,17.0
g__Sva0996_marine_group,1.0,1.0,1.0,3774.0
g__Sva1033,1.0,1.0,1.0,76.0
g__Synechococcus_CC9902,1.0,1.0,1.0,2656.0
g__T34,1.0,1.0,0.0,105.0
g__TG3,1.0,0.0,0.0,3.0
g__Taeseokella,1.0,1.0,1.0,2852.0
g__Tateyamaria,0.0,1.0,0.0,225.0
g__Temperatibacter,0.0,1.0,1.0,11.0
g__Tenacibaculum,0.0,0.0,1.0,9.0
g__Terasakiella,1.0,1.0,1.0,516.0
g__Thalassobaculum,0.0,1.0,1.0,72.0
g__Thalassospira,1.0,1.0,1.0,2438.0
g__Thermomarinilinea,1.0,0.0,0.0,13.0
g__Thiohalophilus,0.0,0.0,1.0,6.0
g__Thiomicrorhabdus,0.0,1.0,1.0,13.0
g__Thiovulum,1.0,0.0,0.0,2.0
g__Tolumonas,1.0,0.0,0.0,287.0
g__Trichococcus,0.0,1.0,0.0,162.0
g__Truepera,1.0,1.0,1.0,15.0
g__UASB-TL25,1.0,0.0,0.0,8.0
g__UBA10353_marine_group,1.0,1.0,1.0,222.0
g__UBA12409,1.0,1.0,1.0,138.0
g__UCG-002,0.0,1.0,1.0,456.0
g__UCG-005,0.0,1.0,1.0,78.0
g__Ulvibacter,1.0,1.0,1.0,81273.0
g__Unknown_Family,1.0,1.0,1.0,425.0
g__Uruburuella,1.0,0.0,0.0,53.0
g__Variovorax,1.0,0.0,0.0,180.0
g__Veillonella,0.0,1.0,0.0,11.0
g__Vermiphilaceae,0.0,1.0,1.0,26.0
g__Verruc-01,0.0,0.0,1.0,15.0
g__Vibrio,1.0,1.0,0.0,53.0
g__Vicingus,1.0,1.0,1.0,11640.0
g__Victivallales,0.0,0.0,1.0,2.0
g__Vitellibacter,1.0,1.0,1.0,71.0
g__W27,1.0,1.0,1.0,595.0
g__WD260,0.0,0.0,1.0,52.0
g__WPS-2,1.0,1.0,1.0,597.0
g__WWE3,0.0,0.0,1.0,2.0
g__Wenyingzhuangia,0.0,1.0,0.0,7.0
g__Winogradskyella,1.0,0.0,0.0,14.0
g__Woesearchaeales,1.0,1.0,1.0,702.0
g__Woeseia,1.0,1.0,1.0,3749.0
g__Xanthobacter,1.0,0.0,0.0,5.0
g__Xanthomonas,1.0,0.0,0.0,17.0
g__Yoonia-Loktanella,1.0,1.0,1.0,42112.0
g__Zeaxanthinibacter,1.0,0.0,0.0,15.0
g__Zhongshania,1.0,1.0,1.0,113.0
g__Zixibacteria,1.0,0.0,1.0,15.0
g__Zoogloea,1.0,0.0,0.0,1891.0
g__Zunongwangia,0.0,1.0,1.0,31.0
g__[Caedibacter]_taeniospiralis_group,0.0,0.0,1.0,12.0
g__[Ruminococcus]_torques_group,0.0,1.0,0.0,40.0
g__bacteriap25,0.0,1.0,0.0,2.0
g__endosymbionts,1.0,1.0,1.0,796.0
g__env.OPS_17,1.0,0.0,0.0,463.0
g__eub62A3,1.0,0.0,0.0,26.0
g__hgcI_clade,0.0,0.0,1.0,1570.0
g__koll11,0.0,1.0,1.0,58.0
g__pItb-vmat-80,1.0,0.0,0.0,2.0
g__uncultured,1.0,1.0,1.0,560819.0
g__vadinHA49,1.0,1.0,1.0,62.0
