Genus,L30,S30,W30,feature_frequency
g__Halioglobus,1.0,1.0,1.0,5950.0
g__Halobacteriovorax,1.0,1.0,1.0,6464.0
g__Halochromatium,1.0,0.0,0.0,3.0
g__Halomonas,1.0,1.0,1.0,407.0
g__Halothiobacillus,1.0,0.0,1.0,6.0
g__Haplozoon,1.0,1.0,0.0,74.0
g__Hellea,1.0,1.0,1.0,101.0
g__Henriciella,1.0,1.0,1.0,244.0
g__Heterobranchia,1.0,0.0,1.0,48.0
g__Heterodinium,1.0,0.0,1.0,42.0
g__Hirschia,1.0,0.0,0.0,2.0
g__Hydrogenedensaceae,1.0,1.0,1.0,1759.0
g__Hydrogenophaga,0.0,1.0,1.0,4512.0
g__Hymenoptera,1.0,1.0,0.0,317.0
g__Hyphomonas,0.0,0.0,1.0,527.0
g__Hypnocyclicus,0.0,1.0,1.0,321.0
g__IS-44,1.0,1.0,1.0,6073.0
g__Idiomarina,1.0,1.0,1.0,373.0
g__Ignavibacterium,0.0,0.0,1.0,10.0
g__IheB3-7,0.0,0.0,1.0,34.0
g__Ilumatobacter,1.0,1.0,1.0,1007.0
g__Imantonia,0.0,0.0,1.0,8.0
g__Incertae_Sedis,0.0,0.0,1.0,17.0
g__Izemoplasmataceae,0.0,1.0,1.0,99.0
g__Izemoplasmatales,0.0,1.0,0.0,47.0
g__Izimaplasma,0.0,1.0,1.0,265.0
g__JG30-KF-CM66,0.0,1.0,1.0,54.0
g__JGI_0000069-P22,0.0,1.0,0.0,4.0
g__JL-ETNP-F27,1.0,1.0,1.0,1101.0
g__JS1,1.0,0.0,0.0,18.0
g__JTB23,0.0,1.0,1.0,248.0
g__Jiella,0.0,1.0,0.0,10.0
g__KF-JG30-B3,1.0,1.0,1.0,680.0
g__KI89A_clade,1.0,1.0,1.0,5438.0
g__Kapabacteriales,1.0,1.0,0.0,53.0
g__Katablepharis,1.0,0.0,0.0,20.0
g__Kordiimonas,0.0,1.0,1.0,2284.0
g__LCP-80,1.0,0.0,1.0,14.0
g__LCP-89,1.0,1.0,1.0,113.0
g__LS-NOB,1.0,1.0,1.0,148682.0
g__Labilibacter,1.0,1.0,1.0,15.0
g__Lachnoclostridium,0.0,1.0,0.0,31.0
g__Lacticaseibacillus,0.0,1.0,0.0,2.0
g__Lactococcus,1.0,0.0,0.0,421.0
g__Latescibacteraceae,1.0,0.0,0.0,15.0
g__Latescibacterota,1.0,1.0,1.0,500.0
g__Leeuwenhoekiella,1.0,1.0,1.0,393.0
g__Legionella,1.0,1.0,1.0,836.0
g__Lentibacter,0.0,1.0,1.0,1825.0
g__Lentimicrobiaceae,1.0,1.0,1.0,142.0
g__Lentimicrobium,0.0,0.0,1.0,5.0
g__Lentimonas,1.0,1.0,1.0,2606.0
g__Lentisphaera,0.0,1.0,1.0,104.0
g__Leptocylindrus,1.0,0.0,0.0,7.0
g__Leptothecata,1.0,0.0,1.0,2684.0
g__Leptotrichia,1.0,1.0,1.0,1111.0
g__Leucocryptos,1.0,0.0,0.0,61.0
g__Leucothrix,0.0,1.0,1.0,27.0
g__Lewinella,1.0,1.0,1.0,29531.0
g__Ligilactobacillus,1.0,0.0,0.0,4.0
g__Limnobacter,1.0,1.0,1.0,1488.0
g__Lineage_IIb,0.0,1.0,0.0,8.0
g__Litoricola,0.0,1.0,1.0,877.0
g__Lokiarchaeia,0.0,0.0,1.0,2.0
g__Luminiphilus,1.0,1.0,1.0,5481.0
g__Luteibaculum,1.0,1.0,1.0,1248.0
g__Lutibacter,1.0,0.0,0.0,213.0
g__Lutimonas,1.0,0.0,1.0,282.0
g__MAST-12A,1.0,0.0,0.0,25.0
g__MAST-1A,1.0,1.0,1.0,877.0
g__MAST-1B,0.0,1.0,1.0,292.0
g__MAST-1C,1.0,1.0,1.0,143.0
g__MAST-2,1.0,0.0,0.0,134.0
g__MAST-3,0.0,1.0,0.0,2.0
g__MAST-3I,0.0,0.0,1.0,8.0
g__MAST-4,0.0,1.0,1.0,133.0
g__MAST-7A,0.0,1.0,1.0,272.0
g__MAST-8,0.0,1.0,0.0,21.0
g__MB11C04_marine_group,0.0,1.0,1.0,332.0
g__MD3-55,1.0,1.0,1.0,1233.0
g__ML602J-51,0.0,1.0,1.0,101.0
g__MND1,0.0,0.0,1.0,47.0
g__MSB-1D1,1.0,1.0,1.0,41.0
g__MSBL3,0.0,1.0,1.0,85.0
g__MSBL5,1.0,0.0,0.0,3.0
g__Magnetospira,1.0,1.0,1.0,19749.0
g__Magnoliophyta,0.0,0.0,1.0,147.0
g__Margulisbacteria,0.0,1.0,1.0,269.0
g__Maribacter,1.0,1.0,0.0,105.0
g__Marinagarivorans,0.0,1.0,0.0,36.0
g__Marine_Choanoflagellates_1,0.0,0.0,1.0,12.0
g__Marine_Group_II,1.0,1.0,1.0,50782.0
g__Marine_Group_III,0.0,1.0,1.0,34.0
g__Marinicella,0.0,1.0,0.0,40.0
g__Marinifilum,1.0,1.0,1.0,1672.0
g__Marinimicrobia_(SAR406_clade),1.0,1.0,1.0,34150.0
g__Marinobacter,1.0,0.0,0.0,1147.0
g__Marinomonas,0.0,1.0,0.0,43.0
g__Marinoscillum,1.0,1.0,1.0,22341.0
g__Mariprofundus,1.0,1.0,1.0,3779.0
g__Maritimimonas,1.0,0.0,1.0,36.0
g__Martelella,1.0,1.0,1.0,171.0
g__Massilia,1.0,1.0,0.0,314.0
g__Megamonas,1.0,0.0,1.0,154.0
g__Mesonia,1.0,1.0,1.0,137.0
g__Methylobacterium-Methylorubrum,0.0,1.0,1.0,50.0
g__Methylophaga,0.0,1.0,0.0,5.0
g__Methylorosula,0.0,0.0,1.0,14.0
g__Micromonas,0.0,1.0,1.0,620.0
g__MidBa8,1.0,0.0,0.0,2.0
g__Milano-WF1B-03,0.0,1.0,1.0,845.0
g__Mitochondria,1.0,1.0,1.0,28359.0
g__Mitsuokella,1.0,0.0,0.0,3.0
g__Moraxellaceae,0.0,0.0,1.0,38.0
g__Moritella,1.0,1.0,1.0,710.0
g__Mucilaginibacter,0.0,1.0,0.0,15.0
g__Muricauda,0.0,0.0,1.0,40.0
g__Myoida,1.0,0.0,0.0,8.0
g__NB1-j,1.0,1.0,1.0,8948.0
g__NS10_marine_group,1.0,1.0,1.0,7286.0
g__NS11-12_marine_group,1.0,1.0,1.0,61287.0
g__NS2b_marine_group,1.0,1.0,1.0,17262.0
g__NS3a_marine_group,1.0,1.0,1.0,206260.0
g__NS4_marine_group,1.0,1.0,1.0,67205.0
g__NS5_marine_group,1.0,1.0,1.0,150752.0
g__NS7_marine_group,1.0,1.0,1.0,12303.0
g__NS9_marine_group,1.0,1.0,1.0,204767.0
g__Negativibacillus,1.0,0.0,0.0,2.0
g__Nitrosomonas,1.0,1.0,1.0,7140.0
g__Nitrospina,1.0,1.0,1.0,11926.0
g__Nitrospinota,0.0,0.0,1.0,2.0
g__Nitrospira,1.0,1.0,1.0,12.0
g__Nocardioides,0.0,1.0,1.0,370.0
g__Noviherbaspirillum,0.0,0.0,1.0,13.0
g__Novosphingobium,1.0,1.0,1.0,100.0
g__OCS116_clade,1.0,1.0,1.0,13343.0
g__OM182_clade,1.0,1.0,1.0,28073.0
g__OM190,1.0,1.0,1.0,234508.0
g__OM27_clade,1.0,1.0,1.0,20405.0
g__OM43_clade,1.0,1.0,1.0,76604.0
g__OM60(NOR5)_clade,1.0,1.0,1.0,6057.0
g__OM75_clade,0.0,1.0,1.0,6927.0
g__Obscuribacteraceae,0.0,1.0,0.0,101.0
g__Octadecabacter,0.0,1.0,1.0,3888.0
g__Odoribacter,0.0,1.0,1.0,75.0
g__Oleibacter,0.0,0.0,1.0,4.0
g__Oleispira,1.0,1.0,1.0,359.0
g__Omnitrophales,0.0,0.0,1.0,29.0
g__Orbiniidae,1.0,0.0,0.0,4.0
g__Oribacterium,0.0,0.0,1.0,2.0
g__Owenweeksia,0.0,1.0,0.0,3.0
g__P.palmC41,0.0,1.0,0.0,53.0
g__P3OB-42,0.0,1.0,1.0,954.0
g__PAUC34f,0.0,1.0,1.0,2010.0
g__PB19,1.0,1.0,1.0,2184.0
g__PHOS-HE36,1.0,0.0,1.0,28.0
g__PS-B29,0.0,0.0,1.0,2.0
g__Palleronia-Pseudomaribius,0.0,0.0,1.0,3.0
g__Palpitomonas,1.0,1.0,1.0,104.0
g__Paludibacter,0.0,1.0,0.0,315.0
g__Pantoea,0.0,0.0,1.0,383.0
g__Parabacteroides,1.0,1.0,1.0,392.0
g__Paracoccus,1.0,1.0,0.0,32.0
g__Paraglaciecola,1.0,0.0,0.0,187.0
g__Paraperlucidibaca,1.0,0.0,0.0,2.0
g__Paraphysomonas,1.0,0.0,1.0,86.0
g__Parasphingopyxis,1.0,0.0,0.0,9.0
g__Parasutterella,0.0,0.0,1.0,30.0
g__PeM15,0.0,1.0,1.0,1405.0
g__Pectinoida,1.0,0.0,0.0,2.0
g__Pedobacter,1.0,1.0,1.0,922.0
g__Pelagicoccus,1.0,1.0,1.0,229.0
g__Pelosinus,1.0,1.0,1.0,155.0
g__Peredibacter,1.0,1.0,1.0,1340.0
g__Persicirhabdus,1.0,1.0,1.0,16109.0
g__Persicitalea,1.0,1.0,1.0,187.0
g__Phaeocystis,0.0,1.0,1.0,987.0
g__Phascolarctobacterium,0.0,1.0,1.0,197.0
g__Photobacterium,1.0,0.0,1.0,44.0
g__Phyllodocida,1.0,1.0,0.0,41.0
g__Picomonadida,0.0,1.0,1.0,36.0
g__Picozoa,0.0,1.0,1.0,29.0
g__Pir4_lineage,1.0,0.0,1.0,143.0
g__Pithites,1.0,1.0,1.0,84.0
g__Pla3_lineage,1.0,0.0,1.0,42.0
g__Pla4_lineage,1.0,0.0,1.0,37.0
g__Planctomicrobium,1.0,1.0,1.0,17786.0
g__Planktomarina,1.0,1.0,1.0,176687.0
g__Planktotalea,1.0,1.0,1.0,16209.0
g__Ploimida,0.0,1.0,0.0,68.0
g__Polaribacter,1.0,1.0,1.0,158690.0
g__Polaromonas,1.0,1.0,1.0,2372.0
g__Polycyclovorans,1.0,1.0,1.0,4574.0
g__Polynucleobacter,0.0,1.0,1.0,6050.0
g__Porticoccus,1.0,1.0,1.0,13070.0
g__Prevotella_7,0.0,1.0,0.0,72.0
g__Prevotella_9,1.0,1.0,1.0,5774.0
g__Prolixibacteraceae,0.0,1.0,0.0,11.0
g__Propionigenium,1.0,0.0,0.0,33.0
g__Protaspis,1.0,0.0,0.0,24.0
g__Pseudoalteromonas,1.0,1.0,1.0,3721.0
g__Pseudofulvibacter,0.0,1.0,1.0,710.0
g__Pseudohongiella,1.0,1.0,1.0,77835.0
g__Pseudomonas,1.0,1.0,1.0,2241.0
g__Pseudonocardia,1.0,0.0,0.0,18.0
g__Psychrilyobacter,1.0,1.0,1.0,1821.0
g__Psychrobacter,1.0,1.0,1.0,355.0
g__Psychrobium,0.0,1.0,1.0,18.0
g__Psychromonas,1.0,1.0,1.0,1258.0
g__R76-B128,1.0,1.0,1.0,264.0
g__RF39,0.0,1.0,0.0,15.0
g__RS62_marine_group,0.0,1.0,1.0,36564.0
g__Reichenbachiella,0.0,1.0,0.0,17.0
g__Reinekea,1.0,1.0,1.0,72.0
g__Reyranella,0.0,1.0,1.0,391.0
g__Rhizosolenids,1.0,0.0,0.0,3.0
g__Rhodococcus,1.0,0.0,0.0,170.0
g__Rhodoferax,1.0,1.0,1.0,7230.0
g__Rhodopirellula,1.0,1.0,1.0,723.0
g__Rickettsiella,0.0,1.0,1.0,114.0
g__Rikenellaceae_RC9_gut_group,0.0,1.0,0.0,13.0
g__Rivibacter,0.0,0.0,1.0,6.0
g__Rivicola,0.0,1.0,1.0,569.0
g__Roseburia,0.0,0.0,1.0,88.0
g__Roseibacillus,1.0,1.0,1.0,3583.0
g__Roseimarinus,0.0,0.0,1.0,24.0
g__Roseivirga,1.0,0.0,1.0,80.0
g__Roseobacter_clade_NAC11-7_lineage,1.0,1.0,1.0,15705.0
g__Rs-M47,0.0,1.0,1.0,12.0
g__Rubidimonas,1.0,1.0,1.0,249.0
g__Rubinisphaera,1.0,1.0,1.0,668.0
g__Rubripirellula,1.0,1.0,1.0,8314.0
g__Rubritalea,0.0,1.0,0.0,22.0
g__Rubrivirga,0.0,1.0,1.0,70.0
g__Ruminococcus,0.0,1.0,0.0,100.0
g__S25-593,0.0,1.0,1.0,250.0
g__SAR116_clade,0.0,1.0,1.0,31892.0
g__SAR202_clade,1.0,1.0,1.0,3059.0
g__SAR324_clade(Marine_group_B),1.0,1.0,1.0,33210.0
g__SAR86_clade,1.0,1.0,1.0,48410.0
g__SAR92_clade,1.0,1.0,1.0,35011.0
g__SB-5,1.0,0.0,0.0,12.0
g__SCGC_AAA011-D5,1.0,1.0,1.0,301.0
g__SCGC_AAA164-E04,1.0,1.0,1.0,3248.0
g__SEEP-SRB1,1.0,0.0,1.0,244.0
g__SG8-4,1.0,1.0,0.0,112.0
g__SH-PL14,0.0,0.0,1.0,18.0
g__SM1A02,1.0,0.0,1.0,47.0
g__SPG12-343-353-B69,0.0,1.0,0.0,2.0
g__SS1-B-02-17,0.0,1.0,0.0,12.0
g__SS1-B-07-19,0.0,1.0,1.0,4333.0
g__ST-12K33,1.0,0.0,0.0,41.0
g__SUP05_cluster,1.0,1.0,1.0,312191.0
g__Sabellida,0.0,0.0,1.0,2.0
g__Saccharimonadales,0.0,1.0,0.0,388.0
g__Saccharospirillaceae,0.0,1.0,1.0,537.0
g__Salinicola,1.0,1.0,1.0,4029.0
g__Salinirepens,1.0,1.0,0.0,427.0
g__Salinisphaera,1.0,1.0,1.0,8977.0
g__Sediminibacterium,0.0,1.0,1.0,2231.0
g__Sediminispirochaeta,1.0,1.0,0.0,17.0
g__Sessilia,1.0,0.0,0.0,26.0
g__Shewanella,1.0,1.0,1.0,556.0
g__Simplicispira,1.0,0.0,0.0,99.0
g__Singulisphaera,0.0,0.0,1.0,5.0
g__Sinobacterium,0.0,1.0,0.0,34.0
g__Sphaerochaeta,1.0,0.0,1.0,265.0
g__Sphingobium,1.0,1.0,1.0,169.0
g__Sphingomonas,1.0,1.0,1.0,1085.0
g__Sphingopyxis,1.0,1.0,1.0,1343.0
g__Sphingorhabdus,0.0,1.0,1.0,153.0
g__Spionida,0.0,0.0,1.0,59.0
g__Spirochaeta_2,1.0,1.0,1.0,124.0
g__Spiroplasma,0.0,1.0,0.0,2.0
g__Staphylococcus,0.0,1.0,0.0,18.0
g__Stappiaceae,0.0,0.0,1.0,49.0
g__Stenosemella,0.0,0.0,1.0,42.0
g__Stenotrophomonas,1.0,1.0,1.0,1860.0
g__Subdoligranulum,0.0,1.0,1.0,372.0
g__Subgroup_10,1.0,1.0,1.0,47.0
g__Subgroup_17,1.0,0.0,0.0,19.0
g__Subgroup_22,1.0,1.0,1.0,81.0
g__Subgroup_23,1.0,0.0,1.0,189.0
g__Subgroup_25,0.0,0.0,1.0,2.0
g__Subgroup_5,0.0,0.0,1.0,9.0
g__Subgroup_7,0.0,0.0,1.0,10.0
g__Sulfitobacter,1.0,1.0,1.0,148323.0
g__Sulfurimonas,0.0,1.0,1.0,121.0
g__Sulfurovum,1.0,0.0,1.0,21.0
g__Sumerlaea,1.0,1.0,0.0,12.0
g__Sutterella,0.0,1.0,0.0,16.0
g__Sva0081_sediment_group,1.0,0.0,0.0,66.0
g__Sva0485,0.0,0.0,1.0,17.0
g__Sva0996_marine_group,1.0,1.0,1.0,3774.0
g__Syndiniales_Group_I,1.0,1.0,1.0,1269.0
g__Syndiniales_Group_II,1.0,1.0,1.0,425.0
g__Syndiniales_Group_III,1.0,1.0,1.0,176.0
g__Synechococcus_CC9902,1.0,1.0,1.0,2656.0
g__Taeseokella,1.0,1.0,1.0,2852.0
g__Taibaiella,0.0,0.0,1.0,8.0
g__Tateyamaria,1.0,1.0,1.0,225.0
g__Teleaulax,1.0,1.0,1.0,2354.0
g__Telonema,1.0,0.0,1.0,277.0
g__Terasakiella,1.0,0.0,1.0,516.0
g__Terebellida,1.0,0.0,0.0,6.0
g__Thalassiosira,1.0,0.0,1.0,797.0
g__Thalassobaculum,0.0,1.0,0.0,72.0
g__Thalassolituus,0.0,0.0,1.0,48.0
g__Thalassospira,1.0,1.0,1.0,2438.0
g__Thermovirga,1.0,0.0,0.0,115.0
g__Tindallia,0.0,0.0,1.0,2.0
g__Tolumonas,0.0,1.0,1.0,287.0
g__Trachymedusae,1.0,1.0,1.0,433.0
g__Trichococcus,0.0,1.0,0.0,162.0
g__UBA10353_marine_group,0.0,1.0,1.0,222.0
g__UBA12409,0.0,1.0,1.0,138.0
g__UCG-002,0.0,1.0,1.0,456.0
g__UCG-003,1.0,0.0,1.0,65.0
g__Ulvibacter,1.0,1.0,1.0,81273.0
g__Undibacterium,0.0,1.0,0.0,146.0
g__Unknown_Family,1.0,1.0,1.0,425.0
g__Urania-1B-19_marine_sediment_group,0.0,0.0,1.0,4.0
g__Vermiphilaceae,0.0,0.0,1.0,26.0
g__Verruc-01,0.0,0.0,1.0,15.0
g__Vicingus,1.0,1.0,1.0,11640.0
g__Vishniacozyma,0.0,1.0,0.0,12.0
g__W27,0.0,0.0,1.0,595.0
g__WCHB1-41,1.0,1.0,0.0,14.0
g__WD2101_soil_group,0.0,1.0,0.0,14.0
g__WPS-2,0.0,1.0,1.0,597.0
